Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,FV,68,1,14,6,0,1,15,7,9
2.0,6bnt,65,3,8,1,14,5,7,5,9
3.0,TREX,40,4,6,3,9,10,6,8,3
4.0,Daburisu Nika,32,6,0,9,3,7,0,1,9
5.0,itsheazyKuwaSevn,23,9,2,2,8,14,0,11,0
6.0,ExplosionFusion,22,2,4,10,1,9,2,10,0
7.0,Wheres My Team,22,5,0,5,0,4,0,3,2
8.0,DynamiX,20,8,3,4,3,13,0,4,1
9.0,21cm,18,13,0,12,0,2,1,6,3
10.0,DoubleStuffdOreo,17,11,1,7,0,12,1,2,1
11.0,Amaterasu,12,10,1,8,1,8,3,13,0
12.0,SVR,10,12,0,13,0,3,0,14,0
13.0,ODO,8,14,0,14,0,6,1,9,0
14.0,Quietscheentchen,6,7,0,11,0,11,0,12,0
