Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SAC,72,1,10,3,6,1,17,8,6
2.0,AP,56,2,16,12,4,8,2,1,10
3.0,BFG,42,5,2,2,3,4,6,6,10
4.0,Ryze Empire EU,35,12,3,1,10,6,4,12,1
5.0,Chupiki,34,3,4,13,0,3,7,4,3
6.0,3turrets1brain,28,8,0,6,5,7,2,3,6
7.0,Razaniro,19,7,4,11,0,13,0,2,1
8.0,Ghoul-punk,19,6,1,9,0,2,2,11,1
9.0,Lagom,15,4,0,5,0,10,0,5,0
10.0,SLAP,14,10,0,8,6,12,0,9,1
11.0,EniGma,12,13,0,7,1,5,0,7,0
12.0,Versatile Boys,10,9,0,4,0,11,0,10,0
13.0,Nirvana,8,11,0,10,2,9,0,14,0
14.0,Rayquaza Shiny,4,14,0,14,0,14,0,13,0
