Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,CHI,64,1,6,3,11,14,0,1,15
2.0,GOD,56,4,5,8,8,7,8,2,16
3.0,USG,55,3,13,2,8,6,5,5,6
4.0,Mat For Victory,38,6,4,9,3,1,9,4,0
5.0,Nuclear Apes,33,2,3,4,1,3,5,8,1
6.0,FloWenZ Esports,27,7,1,1,5,4,0,13,0
7.0,Sapere Aude,17,8,4,14,0,8,3,7,2
8.0,Nobody,17,14,0,13,0,2,4,9,0
9.0,Disturbed Saints,13,10,0,10,0,10,0,3,0
10.0,4eSport,12,9,0,7,1,9,1,6,0
11.0,ALPHA ZERO,11,12,0,11,1,5,2,10,0
12.0,FIRE CLAN,10,11,3,6,1,12,0,14,0
13.0,Last Of Osasus,10,5,0,12,0,11,3,12,0
14.0,Totem Enjoyers,10,13,0,5,3,13,0,11,0
