,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 16:40 JSTWorld's Edge United Crew γ Lag Gaming Team ENIGMA","Round 1 Round 1 September 25, 2021 - 16:40 JSTWorld's Edge United Crew γ Lag Gaming Team ENIGMA","Round 2 Round 2 September 25, 2021 - 17:15 JSTWorld's Edge CTG ibushiGin BeastMode Lag Gaming","Round 2 Round 2 September 25, 2021 - 17:15 JSTWorld's Edge CTG ibushiGin BeastMode Lag Gaming","Round 3 Round 3 September 25, 2021 - 17:50 JSTWorld's Edge United Crew γ AwakeRapid:Zero Radical Pop Gaming","Round 3 Round 3 September 25, 2021 - 17:50 JSTWorld's Edge United Crew γ AwakeRapid:Zero Radical Pop Gaming","Round 4 Round 4 September 25, 2021 - 18:25 JSTWorld's Edge ORB GARDEN Hybrid Eclipse Team Solid","Round 4 Round 4 September 25, 2021 - 18:25 JSTWorld's Edge ORB GARDEN Hybrid Eclipse Team Solid","Round 5 Round 5 September 25, 2021 - 19:00 JSTWorld's Edge Team ENIGMA Hybrid Eclipse Ace1","Round 5 Round 5 September 25, 2021 - 19:00 JSTWorld's Edge Team ENIGMA Hybrid Eclipse Ace1","Round 6 Round 6 September 25, 2021 - 19:35 JSTWorld's Edge ORB GARDEN Radical Pop Gaming Root Union Gaming","Round 6 Round 6 September 25, 2021 - 19:35 JSTWorld's Edge ORB GARDEN Radical Pop Gaming Root Union Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,UC,63,1,17,15,3,1,15,8,1,16,0,20,0
1,2.0,HE,60,15,3,13,2,16,0,2,14,2,12,7,6
2,3.0,ORB.G,59,14,0,7,0,7,9,1,6,14,3,1,9
3,4.0,ENG,55,3,4,5,10,6,1,11,4,1,9,16,0
4,5.0,IBSG,52,9,0,1,18,5,0,20,1,10,4,4,4
5,6.0,RPG,45,6,1,6,4,3,1,18,0,9,2,2,13
6,7.0,ARZ,41,10,4,10,3,2,16,12,0,19,0,10,2
7,8.0,Solid,40,4,3,14,3,10,0,3,12,7,1,9,1
8,9.0,LAG,37,2,7,3,0,11,4,6,1,12,4,17,0
9,10.0,AVA,29,18,1,11,2,8,3,7,0,5,3,5,6
10,11.0,Ace1,28,11,2,8,0,4,1,14,0,3,8,13,0
11,12.0,RUG,26,13,0,19,0,14,0,9,2,4,3,3,5
12,13.0,BeastMode,23,16,0,2,5,18,3,17,0,15,0,6,2
13,14.0,Zenith,22,8,4,16,0,9,2,4,3,6,1,18,0
14,15.0,D4RK,20,19,3,17,3,15,1,19,1,13,6,15,3
15,16.0,ARK5,20,5,4,4,0,13,0,16,0,17,0,8,4
16,17.0,KaisenDONDON,19,7,2,9,4,12,0,13,0,11,3,11,1
17,18.0,YaBaL,14,20,0,20,0,17,0,5,6,8,2,0,0
18,19.0,C-VA KAG,8,17,1,18,0,19,0,10,5,18,0,19,0
19,20.0,OC,6,12,0,12,0,20,0,15,1,20,1,14,0
