Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,POLSKA,70,5,8,19,0,2,4,1,6,1,12,13,2,Lobby 1
2.0,SPPI,48,8,6,16,5,7,2,4,3,14,0,1,9,Lobby 1
3.0,SMG,48,2,8,2,3,4,5,15,3,12,2,8,0,Lobby 1
4.0,SNK,45,13,1,1,7,13,0,2,8,9,0,14,3,Lobby 1
5.0,SLAP,43,17,0,9,6,3,16,13,2,13,3,12,4,Lobby 1
6.0,TTG,39,16,2,5,7,11,1,7,2,15,0,2,9,Lobby 1
7.0,SZN,39,12,4,8,1,1,11,17,1,17,0,5,3,Lobby 1
8.0,YK,38,1,8,10,3,8,6,10,3,19,0,20,0,Lobby 1
9.0,ZBW,37,11,1,6,5,15,1,6,2,2,7,7,1,Lobby 1
10.0,KYKLOS,33,15,0,11,0,16,0,3,9,3,1,4,2,Lobby 1
11.0,HYR,32,20,0,13,7,9,5,11,3,6,7,9,1,Lobby 1
12.0,BBG,28,19,0,20,1,17,1,12,10,16,1,6,11,Lobby 1
13.0,BW,27,6,7,3,4,20,0,20,0,11,4,15,0,Lobby 1
14.0,3FR,26,4,4,7,0,6,5,18,0,8,2,10,0,Lobby 1
15.0,ILL,26,18,0,15,0,12,1,5,2,7,2,3,5,Lobby 1
16.0,NIBL,24,9,1,14,0,10,1,14,0,4,9,11,1,Lobby 1
17.0,THROW,22,3,0,12,1,19,0,16,1,5,8,18,0,Lobby 1
18.0,ROA,22,7,3,4,7,5,0,19,0,18,0,17,0,Lobby 1
19.0,BGTTS,19,14,2,17,0,14,1,8,3,10,2,16,5,Lobby 1
20.0,PPGIS,4,10,0,18,0,18,0,9,0,20,0,19,0,Lobby 1
1.0,b0ts,89,17,0,2,5,1,11,1,10,5,6,1,8,Lobby 2
2.0,XD,64,1,14,9,3,18,1,18,0,1,18,13,1,Lobby 2
3.0,Ratio,55,6,2,5,3,3,6,3,6,4,2,4,5,Lobby 2
4.0,CG,53,10,0,1,19,11,4,6,1,14,6,11,3,Lobby 2
5.0,NCJA,48,2,4,18,0,2,7,5,3,3,3,10,0,Lobby 2
6.0,Reset,39,19,0,6,3,6,4,10,4,7,4,7,10,Lobby 2
7.0,LPOG,38,14,0,3,5,17,3,4,5,6,3,6,3,Lobby 2
8.0,TOM,34,3,6,12,0,4,4,16,0,17,1,3,3,Lobby 2
9.0,drain,32,15,1,4,9,16,0,14,3,10,2,5,4,Lobby 2
10.0,VNX,32,8,0,11,1,15,4,9,0,8,2,2,8,Lobby 2
11.0,ORCL,31,13,3,7,3,14,0,11,2,2,7,12,0,Lobby 2
12.0,BFG,29,5,3,20,0,19,0,2,5,20,1,9,5,Lobby 2
13.0,P4C,27,4,7,13,0,7,0,15,7,19,0,14,2,Lobby 2
14.0,EP,18,16,0,16,1,5,9,19,0,11,2,15,0,Lobby 2
15.0,AMOG,17,12,3,14,1,10,0,12,8,16,0,16,0,Lobby 2
16.0,TNM,17,20,0,10,1,9,2,7,0,15,0,8,4,Lobby 2
17.0,UTFT,15,7,5,17,0,8,0,13,0,9,1,17,1,Lobby 2
18.0,DNMK,12,11,4,8,2,12,0,20,0,12,1,18,0,Lobby 2
19.0,TTD,9,18,0,15,0,13,0,8,2,13,2,19,0,Lobby 2
20.0,Gachi,6,9,3,19,0,20,0,17,1,18,0,20,0,Lobby 2
