,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 BSTWorld's Edge Vidrovszki Nemesis Fluffy Bunnies","Round 1 Round 1 September 25, 2021 - 14:20 BSTWorld's Edge Vidrovszki Nemesis Fluffy Bunnies","Round 2 Round 2 September 25, 2021 - 14:55 BSTWorld's Edge ATK Morning Stars T3W","Round 2 Round 2 September 25, 2021 - 14:55 BSTWorld's Edge ATK Morning Stars T3W","Round 3 Round 3 September 25, 2021 - 15:30 BSTWorld's Edge QualEnjoyers Sheriffs Nemesis","Round 3 Round 3 September 25, 2021 - 15:30 BSTWorld's Edge QualEnjoyers Sheriffs Nemesis","Round 4 Round 4 September 25, 2021 - 16:05 BSTWorld's Edge Sheriffs Fluffy Bunnies Vidrovszki","Round 4 Round 4 September 25, 2021 - 16:05 BSTWorld's Edge Sheriffs Fluffy Bunnies Vidrovszki"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Vidrovszki,62,112,1515,131,22,63,77,37,1515
1,2.0,Sheriffs,56,73,1414,102,66,29,44,112,66
2,3.0,NMS,51,29,77,63,66,37,1414,131,44
3,4.0,ATK,41,121,11,112,1212,151,55,63,66
4,5.0,NXB,28,45,33,54,33,45,66,121,11
5,6.0,Fluffy Bunnies,28,37,33,92,33,111,0,29,33
6,7.0,Explosion,26,54,99,121,33,160,66,92,11
7,8.0,T3W,25,131,0,37,33,82,11,45,66
8,9.0,QualEnjoyers,22,111,11,111,0,112,77,170,0
9,10.0,thr33 stack,21,200,0,45,33,54,22,82,55
10,11.0,SMS,17,160,33,29,44,190,0,141,0
11,12.0,Lunar,12,141,0,160,33,180,0,54,44
12,13.0,Simply_E_Sports,12,102,0,73,44,121,0,111,11
13,14.0,HKE,11,180,0,141,22,92,22,73,11
14,15.0,NoWayFzB,10,82,22,200,0,73,11,180,22
15,16.0,GVG,9,63,0,190,0,131,0,102,33
16,17.0,WICKED,4,170,0,82,11,141,0,160,0
17,18.0,Instalock Jett,4,151,0,151,0,102,0,190,0
18,19.0,IMP Syndicate,2,190,0,170,0,200,11,151,0
19,20.0,Arise eSport 2,2,92,0,180,0,170,0,200,0
