,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 13, 2022 - 15:00 SGTStorm Point Monkeyz NXL WOLFPACK Team Burger","Round 1 Round 1 March 13, 2022 - 15:00 SGTStorm Point Monkeyz NXL WOLFPACK Team Burger","Round 2 Round 2 March 13, 2022 - 15:30 SGTStorm Point Team Burger EXO Clan MBT.NAGA","Round 2 Round 2 March 13, 2022 - 15:30 SGTStorm Point Team Burger EXO Clan MBT.NAGA","Round 3 Round 3 March 13, 2022 - 16:00 SGTStorm Point EXO Clan NXL WOLFPACK Sutoraiku","Round 3 Round 3 March 13, 2022 - 16:00 SGTStorm Point EXO Clan NXL WOLFPACK Sutoraiku","Round 4 Round 4 March 13, 2022 - 16:30 SGTWorld's Edge NXL WOLFPACK EXO Clan day n nite","Round 4 Round 4 March 13, 2022 - 16:30 SGTWorld's Edge NXL WOLFPACK EXO Clan day n nite","Round 5 Round 5 March 13, 2022 - 17:00 SGTWorld's Edge Primis Komanda ATHXHVY Team Burger","Round 5 Round 5 March 13, 2022 - 17:00 SGTWorld's Edge Primis Komanda ATHXHVY Team Burger","Round 6 Round 6 March 13, 2022 - 17:30 SGTWorld's Edge Team Burger Monkeyz SnG","Round 6 Round 6 March 13, 2022 - 17:30 SGTWorld's Edge Team Burger Monkeyz SnG"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,NXL,78,2,12,7,6,2,7,1,17,19,0,11,2
1,2.0,BRGR,77,3,5,1,8,4,5,15,0,3,7,1,8
2,3.0,EXO,72,9,5,2,12,1,6,2,9,13,0,5,3
3,4.0,MDY.W,43,4,3,8,5,13,3,16,1,4,11,9,5
4,5.0,STK,43,6,4,5,9,3,9,5,2,16,0,15,0
5,6.0,WAT,42,13,2,6,7,6,6,13,0,5,4,6,8
6,7.0,MON,41,1,8,16,0,17,0,7,1,10,0,2,6
7,8.0,ATH,36,11,0,10,0,16,1,9,6,2,14,13,0
8,9.0,SNG,36,14,0,14,0,11,3,4,7,17,0,3,11
9,10.0,PK,28,19,0,13,0,10,1,14,0,1,10,12,0
10,11.0,ITR,27,5,7,9,0,9,0,6,4,12,0,8,2
11,12.0,MYTH,22,8,2,4,3,8,3,10,0,8,1,17,0
12,13.0,BWS,20,12,1,15,0,14,0,8,3,9,0,4,4
13,14.0,DNN,20,15,0,12,1,5,4,3,0,11,0,19,1
14,15.0,DREAM,19,10,4,11,2,15,0,11,3,6,0,14,1
15,16.0,MBTN,15,17,0,3,0,12,3,17,0,15,3,18,0
16,17.0,WGG,11,16,0,17,3,7,2,18,0,18,0,10,1
17,18.0,DML,9,7,0,18,0,18,0,12,0,14,0,7,1
18,19.0,FW,8,18,0,19,0,19,0,19,0,7,5,16,0
19,20.0,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0
