,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 12:00 SGTStorm Point NXL WOLFPACK Sutoraiku Reignite","Round 1 Round 1 March 19, 2022 - 12:00 SGTStorm Point NXL WOLFPACK Sutoraiku Reignite","Round 2 Round 2 March 19, 2022 - 12:30 SGTStorm Point DML ATHXHVY Reignite","Round 2 Round 2 March 19, 2022 - 12:30 SGTStorm Point DML ATHXHVY Reignite","Round 3 Round 3 March 19, 2022 - 13:00 SGTStorm Point BWS Reignite FreeAgents","Round 3 Round 3 March 19, 2022 - 13:00 SGTStorm Point BWS Reignite FreeAgents","Round 4 Round 4 March 19, 2022 - 13:30 SGTWorld's Edge EXO Clan ATHXHVY FW Esports","Round 4 Round 4 March 19, 2022 - 13:30 SGTWorld's Edge EXO Clan ATHXHVY FW Esports","Round 5 Round 5 March 19, 2022 - 14:00 SGTWorld's Edge Reignite FreeAgents SnG","Round 5 Round 5 March 19, 2022 - 14:00 SGTWorld's Edge Reignite FreeAgents SnG","Round 6 Round 6 March 19, 2022 - 14:30 SGTWorld's Edge FreeAgents Sutoraiku BWS","Round 6 Round 6 March 19, 2022 - 14:30 SGTWorld's Edge FreeAgents Sutoraiku BWS"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,97,3,12,3,8,2,6,4,6,1,9,5,12
1,2.0,FA,55,8,0,19,0,3,8,19,0,2,8,1,9
2,3.0,STK,52,2,6,6,1,4,6,14,0,4,1,2,6
3,4.0,SNG,46,7,5,4,8,13,2,11,3,3,8,8,1
4,5.0,DML,46,9,0,1,9,5,7,7,0,9,4,10,1
5,6.0,NXL,45,1,15,8,4,20,0,9,9,12,0,19,0
6,7.0,BWS,45,20,0,5,3,1,11,8,0,14,1,3,4
7,8.0,EXO,42,18,3,13,0,19,3,1,15,11,3,13,3
8,9.0,ATH,40,10,2,2,8,8,0,2,4,16,0,11,3
9,10.0,LU,32,5,2,20,0,6,9,18,0,6,3,4,3
10,11.0,FW,27,16,0,7,4,10,0,3,9,13,0,15,0
11,12.0,DNN,24,4,3,14,1,7,1,5,2,7,1,17,0
12,13.0,Antiaa,23,13,1,12,0,16,1,6,4,8,1,6,6
13,14.0,DNZ,21,12,3,17,2,18,0,17,0,5,9,9,0
14,15.0,EMM,17,15,0,11,4,9,1,15,0,17,3,14,3
15,16.0,ANT,15,6,0,10,1,12,1,16,0,10,2,12,2
16,17.0,MBTN,10,19,0,9,3,17,2,10,0,15,0,16,0
17,18.0,DYN,7,17,0,15,1,11,0,12,0,18,0,7,0
18,19.0,OC,5,14,0,18,0,15,0,13,2,19,0,18,0
19,20.0,NLN,3,11,1,16,0,14,0,20,0,20,0,20,0
