,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 12:00 SGTWorld's Edge BRP ANT Esports Club Antiaa","Round 1 Round 1 March 26, 2022 - 12:00 SGTWorld's Edge BRP ANT Esports Club Antiaa","Round 2 Round 2 March 26, 2022 - 12:30 SGTWorld's Edge Method2Madness ANT Esports Club Dynamite","Round 2 Round 2 March 26, 2022 - 12:30 SGTWorld's Edge Method2Madness ANT Esports Club Dynamite","Round 3 Round 3 March 26, 2022 - 13:00 SGTWorld's Edge Reignite Lightning Unicorn DNZ","Round 3 Round 3 March 26, 2022 - 13:00 SGTWorld's Edge Reignite Lightning Unicorn DNZ","Round 4 Round 4 March 26, 2022 - 13:30 SGTStorm Point BRP Antiaa WHIZ","Round 4 Round 4 March 26, 2022 - 13:30 SGTStorm Point BRP Antiaa WHIZ","Round 5 Round 5 March 26, 2022 - 14:00 SGTStorm Point FreeAgents StinkyB ANT Esports Club","Round 5 Round 5 March 26, 2022 - 14:00 SGTStorm Point FreeAgents StinkyB ANT Esports Club","Round 6 Round 6 March 26, 2022 - 14:30 SGTStorm Point Reignite Method2Madness Dynamite","Round 6 Round 6 March 26, 2022 - 14:30 SGTStorm Point Reignite Method2Madness Dynamite"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RIG,79,12,2,5,2,1,21,7,4,5,3,1,11
1,2.0,M2,57,14,0,1,18,10,2,17,0,9,3,2,8
2,3.0,FA,52,15,0,6,2,5,1,10,6,1,17,9,2
3,4.0,ANT,51,2,8,2,6,12,0,5,2,3,5,17,0
4,5.0,BRP,49,1,6,17,0,14,1,1,10,4,2,16,0
5,6.0,Antiaa,40,3,1,14,0,4,2,2,8,6,1,14,2
6,7.0,LU,35,6,5,4,3,2,6,13,0,10,0,15,0
7,8.0,DNZ,33,5,13,16,0,3,3,14,0,13,0,12,3
8,9.0,DF,33,11,0,7,6,7,3,6,3,8,0,6,6
9,10.0,STB,31,17,0,10,2,15,0,8,1,2,7,4,2
10,11.0,SLAY,29,10,2,13,3,9,4,12,3,11,0,5,6
11,12.0,DYN,26,4,4,3,2,13,0,16,0,16,0,3,0
12,13.0,NLN,22,13,0,12,1,11,2,4,5,7,2,11,0
13,14.0,OC,19,8,2,9,1,8,2,9,1,17,0,8,3
14,15.0,WHIZ,18,9,1,11,0,17,0,3,2,15,0,7,1
15,16.0,EMM,16,7,0,15,0,6,1,11,1,14,4,13,0
16,17.0,DESI,12,16,0,8,1,16,0,15,0,12,2,10,3
17,18.0,GS,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,PWLS,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0
