Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
1.0,SP,117,8,5,1,13,2,12,1,17,1,14,7,6,Lobby 1,Finals
2.0,AIMC,74,7,5,3,13,1,9,8,1,9,1,1,7,Lobby 1,Finals
3.0,Os Minhauu,54,2,4,9,6,6,4,7,1,2,4,3,2,Lobby 1,Finals
4.0,Mystical,53,9,3,10,8,3,12,3,1,5,2,6,2,Lobby 1,Finals
5.0,MAUA,50,3,5,15,4,7,8,20,0,12,4,2,8,Lobby 1,Finals
6.0,WTN,44,1,16,5,3,12,0,13,5,14,1,19,0,Lobby 1,Finals
7.0,PVP,43,19,1,14,0,16,5,5,13,8,7,12,9,Lobby 1,Finals
8.0,OSO,36,13,3,4,5,17,1,9,5,4,9,18,0,Lobby 1,Finals
9.0,2k ping,35,5,0,12,0,4,5,6,1,3,3,4,1,Lobby 1,Finals
10.0,GOAT,34,10,0,2,2,19,0,2,5,7,0,8,2,Lobby 1,Finals
11.0,TVA,24,4,3,6,0,15,1,4,1,17,4,14,0,Lobby 1,Finals
12.0,TERM,19,6,3,7,1,9,2,14,2,11,0,15,0,Lobby 1,Finals
13.0,HARD,18,12,3,11,2,18,0,17,2,18,0,9,7,Lobby 1,Finals
14.0,MALA,12,16,0,16,1,13,0,10,0,10,0,5,2,Lobby 1,Finals
15.0,DDS,10,18,0,13,0,14,0,15,0,6,4,16,0,Lobby 1,Finals
16.0,NICA,10,17,2,18,0,5,0,12,1,15,0,13,0,Lobby 1,Finals
17.0,PNTC,10,15,0,8,0,8,0,16,0,19,0,10,3,Lobby 1,Finals
18.0,Tharsis,7,20,0,20,0,20,0,19,0,13,4,11,1,Lobby 1,Finals
19.0,RWA,5,14,2,17,0,11,0,18,0,16,1,17,0,Lobby 1,Finals
20.0,iNfect,5,11,1,19,0,10,0,11,0,20,0,20,0,Lobby 1,Finals
