Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Blagueur,55,1,13,11,0,5,1,2,15
2.0,Love Egirls,42,7,5,13,0,1,16,7,2
3.0,ElemenT,39,2,8,2,9,12,2,13,0
4.0,Natural Killer,38,13,0,1,6,3,2,3,3
5.0,AGCL,37,9,2,8,7,9,1,1,9
6.0,ALFA WARRIORS,26,12,0,3,5,6,5,4,0
7.0,Tharsis,26,10,0,5,0,2,1,5,6
8.0,PoliShopu,24,3,0,4,5,7,1,8,1
9.0,Morri Nem Vi,16,5,3,9,0,4,0,9,0
10.0,BRABINHO,15,8,0,7,3,8,4,12,0
11.0,LostSoulsDreamer,15,4,3,6,0,10,0,10,0
12.0,AWD,12,6,2,12,0,11,2,6,0
13.0,Legacy,5,11,0,10,0,13,0,11,0
14.0,PVP,0,20,0,20,0,20,0,20,0
