Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Crest,59,37,44,63,0,112,1313,112,88
2.0,shes,54,112,1414,73,1111,111,33,37,33
3.0,ARK5,40,29,66,37,33,73,66,82,44
4.0,TSURUGI,29,73,33,45,55,54,77,121,11
5.0,LLGS,28,45,44,111,11,63,11,29,44
6.0,ScL,27,102,0,29,55,37,33,131,0
7.0,CPGaming,24,82,44,54,11,29,11,73,0
8.0,C-VA KAG,23,131,22,121,33,141,0,45,1010
9.0,Fada-one KR,22,141,0,112,55,92,11,141,0
10.0,WYV,20,63,11,102,33,82,55,92,22
11.0,APEX反省会,15,121,0,92,0,45,0,54,33
12.0,Eclat,10,54,0,82,0,121,0,63,0
13.0,MIX-ONE,7,111,0,141,0,131,0,111,33
14.0,ORC,7,92,0,131,0,102,0,102,0
