Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SJP2,72,1,15,9,6,1,23,19,2
2.0,SMS,35,2,8,18,0,2,6,7,0
3.0,Xc,34,4,2,2,8,4,4,12,0
4.0,LOS,31,3,6,8,0,13,0,2,6
5.0,Velocity,31,10,1,5,1,15,0,1,10
6.0,HLDC,30,7,7,6,7,9,5,8,1
7.0,CRAZYx3,28,5,0,3,11,12,3,11,1
8.0,TRJ,25,6,0,19,0,5,6,6,9
9.0,NoToDay,24,19,0,15,2,6,0,3,11
10.0,CHI,24,15,3,1,5,17,0,10,1
11.0,21cm,20,8,3,17,3,3,4,15,0
12.0,VIVIFY,18,16,0,12,0,7,4,4,5
13.0,Team KST,14,12,0,10,0,14,0,5,6
14.0,PRSTS,13,11,2,13,2,10,1,13,3
15.0,1515,10,20,0,4,5,20,0,17,0
16.0,Justthreeplayers,9,18,0,14,6,18,0,20,2
17.0,NoFear,9,14,1,11,2,16,3,14,0
18.0,2vodkas1beer,6,13,4,20,0,19,0,16,1
19.0,ExplosionFusion,6,17,0,7,1,8,0,18,0
20.0,megaharosh,6,9,1,16,0,11,0,9,0
