Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,1872,55,12,7,5,4,1,15,3,5
2.0,HNY,49,2,6,11,4,2,6,6,11
3.0,3FR,49,4,6,2,8,3,8,8,4
4.0,BFG,36,7,1,14,5,5,3,1,7
5.0,CHASE,36,3,6,1,9,15,0,14,0
6.0,NoHalo,33,1,15,15,0,11,1,16,3
7.0,Steamroller,24,18,0,3,8,4,2,11,1
8.0,SSD,19,16,0,9,1,19,0,2,7
9.0,LucendiGaming,17,14,3,10,3,8,5,17,1
10.0,Sip auf Hirn,16,15,3,4,6,20,0,15,0
11.0,WLS,16,20,0,20,1,9,5,4,3
12.0,4TH PARTY,16,9,0,7,2,13,3,5,1
13.0,CG,13,10,1,6,0,10,5,19,0
14.0,Table For Two,13,5,3,13,0,18,1,10,2
15.0,Little stitious,12,8,5,17,0,7,2,18,0
16.0,ZeroChance,11,6,0,19,1,6,1,13,2
17.0,playing for content,10,11,2,16,2,16,1,12,3
18.0,ORCL,7,19,0,12,2,17,0,9,2
19.0,Skulls,6,17,1,18,1,14,0,7,0
20.0,PepperX,4,13,0,8,0,12,0,20,0
