B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,LFTW,93,7,4,2,11,1,10,1,9,1,9,12,1
2.0,FAK,52,1,12,3,7,17,0,8,7,16,3,13,1
3.0,IGZ,51,3,5,1,10,10,3,14,0,10,0,4,4
4.0,UNI,49,4,1,7,8,16,0,3,3,15,2,2,10
5.0,CR,43,20,0,18,0,11,2,4,11,17,0,1,12
6.0,RIG-N,42,11,3,17,0,14,1,2,10,2,7,15,0
7.0,DTN,35,19,3,13,0,5,10,16,0,4,7,10,3
8.0,CAG,35,2,12,16,2,19,0,13,1,5,3,16,3
9.0,FL,33,15,0,11,3,8,6,19,2,6,3,3,5
10.0,RC,29,9,3,4,3,15,4,9,4,9,3,19,0
11.0,LDN,29,8,4,6,4,12,0,5,2,12,2,5,2
12.0,FLCO,26,14,0,8,2,3,5,20,0,7,5,17,1
13.0,RZ,24,10,1,15,0,2,4,12,0,8,0,18,4
14.0,USG,21,5,3,10,2,6,5,15,0,19,0,14,0
15.0,V3,20,6,2,12,1,18,0,6,0,13,1,6,5
16.0,UC,18,12,2,19,0,9,0,7,5,14,0,8,2
17.0,NTH,17,13,0,9,2,20,0,11,0,3,0,9,2
18.0,RPG,14,17,0,5,2,13,0,10,1,11,1,11,1
19.0,RXC,11,16,0,20,0,7,7,18,0,20,0,20,1
20.0,AVA,11,18,0,14,0,4,0,17,1,18,0,7,1
