C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FL,73,11,1,9,8,8,4,5,7,1,13,1,7
2.0,DTN,49,15,0,6,3,1,11,12,3,13,4,5,6
3.0,CR,48,8,3,1,13,12,0,8,4,17,1,7,7
4.0,Flora,46,17,2,8,6,13,1,4,5,14,2,3,14
5.0,RZ,46,3,7,12,0,6,7,6,5,3,3,11,2
6.0,V3,44,19,0,5,0,2,8,2,7,5,2,16,1
7.0,GW,43,1,10,13,0,3,8,16,0,15,2,9,0
8.0,NTH,42,2,1,3,3,5,4,7,1,4,4,14,0
9.0,QF,39,18,0,4,3,11,4,1,8,8,1,12,2
10.0,MTR,32,7,6,11,3,19,0,18,0,2,10,18,0
11.0,TW,32,4,5,19,0,20,0,10,0,16,4,2,7
12.0,BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0
13.0,RID,25,13,3,2,8,7,1,19,0,19,0,20,0
14.0,IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1
15.0,FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3
16.0,RUG,21,20,0,17,4,9,2,9,4,6,4,17,0
17.0,USG,21,12,1,7,1,15,1,14,2,12,0,13,8
18.0,CAG,13,5,1,10,0,16,0,11,0,10,0,6,0
19.0,ALV,12,9,1,15,0,17,1,13,3,20,0,10,1
20.0,D4RK,6,16,3,18,0,18,0,17,2,18,0,15,0
