B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,CR,86,8,3,12,0,14,4,1,12,1,18,1,9
2.0,RC,70,4,8,8,8,2,7,3,5,13,6,4,7
3.0,FL,54,16,0,1,9,9,9,18,0,12,0,2,12
4.0,UNI,48,2,3,4,5,12,3,7,1,6,2,3,6
5.0,V3,47,5,10,10,3,5,4,9,0,2,6,6,0
6.0,LDN,43,3,2,7,5,1,8,19,1,10,3,19,0
7.0,FLCO,35,7,6,14,0,16,0,2,7,4,3,15,0
8.0,RIG-N,34,13,1,6,3,4,6,15,3,20,0,9,9
9.0,UC,34,1,11,18,0,18,1,17,0,3,3,18,0
10.0,USG,30,20,0,2,4,3,1,5,1,18,0,7,1
11.0,DTN,29,10,2,5,5,7,2,8,3,11,4,12,0
12.0,FAK,26,12,1,15,3,17,4,10,3,9,3,10,4
13.0,IGZ,25,15,5,9,1,10,1,6,6,8,1,11,0
14.0,RPG,22,9,1,16,1,6,2,11,2,14,1,5,4
15.0,NTH,21,14,1,19,0,15,0,4,4,7,2,8,2
16.0,RZ,20,19,0,3,1,8,4,13,3,15,0,14,0
17.0,LFTW,11,6,5,13,2,19,0,20,0,16,0,17,0
18.0,AVA,9,11,0,11,2,11,1,16,3,17,0,20,0
19.0,CAG,9,17,0,17,0,13,1,12,0,5,1,13,0
20.0,RXC,4,18,0,20,0,20,0,14,0,19,3,16,0
