A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,FSV,66,1,16,10,2,11,9,6,1,3,6,12,6
2.0,GW,65,3,3,4,2,1,17,4,9,19,0,7,2
3.0,FAV,49,8,1,5,7,6,2,13,2,14,0,1,14
4.0,D4RK,48,10,4,2,10,16,0,3,4,4,7,19,0
5.0,TW,46,11,4,3,6,18,0,1,8,13,0,4,2
6.0,DAI,40,20,0,9,4,13,0,18,0,1,13,5,4
7.0,GTS,38,16,1,8,5,14,3,16,0,5,7,2,6
8.0,ORF,38,6,1,11,1,2,4,2,6,16,1,18,3
9.0,FCD,36,4,3,6,2,8,7,9,6,12,3,10,0
10.0,ALV,33,13,4,18,0,9,6,10,4,7,9,13,1
11.0,MTR,29,7,3,13,3,4,0,17,0,10,2,3,3
12.0,αDR,29,2,4,19,2,3,2,19,0,8,1,8,0
13.0,REAH,28,12,3,1,4,19,0,11,2,6,1,16,1
14.0,RID,28,5,0,16,0,7,1,5,0,2,5,9,0
15.0,QF,24,18,2,17,3,20,0,7,7,17,0,6,6
16.0,RUG,20,9,8,20,0,12,0,15,3,11,0,11,3
17.0,BEXT,16,17,0,7,4,17,2,14,0,9,0,15,3
18.0,YOG,14,15,1,15,0,15,3,12,2,20,0,14,3
19.0,LAG,11,14,0,14,2,5,3,20,0,18,0,20,0
20.0,Flora,7,19,0,12,0,10,0,8,1,15,0,17,0
