Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,YTS,80,1,12,15,2,14,2,1,14,3,7,5,6,Lobby 1
2.0,AVG,78,2,12,1,11,18,0,2,10,4,4,7,3,Lobby 1
3.0,DNZY,69,4,9,2,12,3,9,16,3,17,4,8,9,Lobby 1
4.0,MDYB,64,16,3,3,5,19,0,10,2,1,12,1,9,Lobby 1
5.0,ZeroTwo,45,11,0,7,3,4,5,12,1,2,12,9,3,Lobby 1
6.0,Phantom,40,15,0,16,0,2,7,8,2,13,2,2,7,Lobby 1
7.0,Bots,31,5,2,8,2,1,8,15,0,18,0,17,0,Lobby 1
8.0,VG,27,19,0,4,7,16,3,14,6,14,3,14,0,Lobby 1
9.0,Horizon,26,20,0,13,3,6,1,3,5,11,5,18,0,Lobby 1
10.0,Systematic,26,8,0,11,1,13,1,7,2,7,0,4,7,Lobby 1
11.0,OGL,26,3,5,9,0,9,0,5,1,8,2,15,0,Lobby 1
12.0,AIC WIBU,24,13,4,14,0,5,10,19,0,10,1,11,0,Lobby 1
13.0,Sovereign,24,12,0,6,2,8,3,13,1,5,1,6,3,Lobby 1
14.0,Lowkey,21,14,0,5,7,17,0,6,2,6,0,12,0,Lobby 1
15.0,ARENA,20,18,1,18,0,11,6,17,0,9,3,10,5,Lobby 1
16.0,CHILL,19,6,0,12,1,15,0,4,8,20,0,20,0,Lobby 1
17.0,DYSON,18,10,2,20,0,20,0,20,0,12,3,3,3,Lobby 1
18.0,DRG,14,7,3,10,0,7,0,11,1,19,0,13,0,Lobby 1
19.0,JET,5,9,0,17,0,12,1,18,0,15,0,16,0,Lobby 1
20.0,LVTHN,4,17,0,19,0,10,0,9,0,16,0,19,0,Lobby 1
