Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,LM,125,13,6,2,9,1,11,1,16,2,8,1,20,Lobby 1
2.0,LVG,55,3,13,4,18,18,0,20,1,12,5,16,5,Lobby 1
3.0,FNS,51,2,4,1,5,5,6,17,0,13,1,3,2,Lobby 1
4.0,My Neck My Back,50,14,0,15,1,19,0,2,5,1,21,19,0,Lobby 1
5.0,DUMPERS,47,4,4,8,4,2,10,13,2,15,1,5,4,Lobby 1
6.0,LF,38,1,6,5,4,15,0,4,4,18,0,12,1,Lobby 1
7.0,LKM,36,12,0,9,2,14,3,9,3,4,1,2,7,Lobby 1
8.0,WASH,28,16,5,17,0,10,9,8,6,17,3,17,1,Lobby 1
9.0,ChayKayJay,27,8,1,14,2,9,0,6,0,3,4,6,2,Lobby 1
10.0,CAS,26,11,1,19,2,13,1,5,4,6,0,4,4,Lobby 1
11.0,EXAgents,24,17,0,12,4,6,1,7,0,14,1,10,8,Lobby 1
12.0,Already Peaked,23,19,0,16,0,3,8,16,4,8,0,8,0,Lobby 1
13.0,Team Name,23,10,0,3,2,8,3,12,3,19,0,14,2,Lobby 1
14.0,Onyx,21,9,2,11,1,17,1,10,5,5,1,13,1,Lobby 1
15.0,ROT,20,6,2,6,2,7,0,19,0,11,5,11,0,Lobby 1
16.0,New Misfits,20,5,1,18,0,20,0,3,1,7,0,9,2,Lobby 1
17.0,OA,19,20,0,7,1,4,2,14,2,20,0,7,2,Lobby 1
18.0,Specter,17,7,7,13,0,12,0,15,1,10,1,20,0,Lobby 1
19.0,BLitLd Revengers,8,15,3,20,0,16,0,18,0,9,1,15,0,Lobby 1
20.0,SLS,6,18,0,10,0,11,2,11,0,16,0,18,0,Lobby 1
1.0,Select,71,3,7,6,10,13,0,1,8,5,12,11,6,Lobby 2
2.0,RGP,70,1,9,16,0,2,10,17,0,1,15,12,2,Lobby 2
3.0,EQ,53,4,3,12,0,1,12,7,4,4,3,9,3,Lobby 2
4.0,RCO,50,6,5,1,10,11,0,3,6,8,1,14,2,Lobby 2
5.0,Unsigned Talent,48,20,0,4,4,9,2,2,8,19,1,2,8,Lobby 2
6.0,NM,43,5,6,9,2,12,0,9,2,10,0,1,10,Lobby 2
7.0,AST,42,17,0,3,6,3,14,14,3,16,1,17,3,Lobby 2
8.0,D A B,32,7,7,5,4,5,1,6,4,17,0,8,0,Lobby 2
9.0,ReVive me pls,31,8,0,2,7,15,0,5,2,11,2,10,1,Lobby 2
10.0,CCE,28,13,8,13,3,20,0,16,1,9,7,5,1,Lobby 2
11.0,JackBoyz,28,10,2,14,1,7,0,4,2,3,1,7,1,Lobby 2
12.0,Monsters Inc.,27,2,8,19,0,6,3,19,0,12,0,15,2,Lobby 2
13.0,Team Savage,26,15,0,11,0,18,0,12,0,2,3,3,4,Lobby 2
14.0,Code Cloud,25,14,1,8,2,17,2,15,6,6,5,13,1,Lobby 2
15.0,Sussy Bakas,25,12,0,18,1,4,6,13,4,7,1,6,0,Lobby 2
16.0,DirtyDingus',19,9,1,20,0,10,1,18,1,13,1,4,5,Lobby 2
17.0,MDL,17,18,0,7,2,8,3,8,4,15,0,20,0,Lobby 2
18.0,Boston Monsters,11,19,0,10,5,19,0,20,0,18,0,18,4,Lobby 2
19.0,Inspired,9,16,0,15,1,14,0,10,2,20,1,16,1,Lobby 2
20.0,RL,7,11,4,17,0,16,0,11,0,14,0,19,0,Lobby 2
