Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
8.0,REIGN,27,2,8,5,1,7,1,14,0,Lobby 4,Quarterfinals,,,,
9.0,VOID,25,3,9,6,2,8,2,16,0,Lobby 4,Quarterfinals,,,,
10.0,DRG,16,11,0,4,1,5,2,7,0,Lobby 4,Quarterfinals,,,,
11.0,Baj,15,8,2,10,0,12,5,10,1,Lobby 4,Quarterfinals,,,,
12.0,GBR,15,6,1,17,0,4,2,13,3,Lobby 4,Quarterfinals,,,,
13.0,KMF,12,12,0,7,1,15,0,6,3,Lobby 4,Quarterfinals,,,,
14.0,NCTRY,11,16,2,18,0,9,3,5,0,Lobby 4,Quarterfinals,,,,
15.0,SOT,6,15,0,12,2,17,1,12,0,Lobby 4,Quarterfinals,,,,
16.0,CORN,4,14,0,16,0,11,0,8,0,Lobby 4,Quarterfinals,,,,
17.0,ENERGI,3,10,0,15,0,18,0,0,0,Lobby 4,Quarterfinals,,,,
18.0,QUAD,2,17,0,13,0,16,0,17,1,Lobby 4,Quarterfinals,,,,
19.0,ANIM,0,0,0,0,0,0,0,0,0,Lobby 4,Quarterfinals,,,,
20.0,FPAH,0,0,0,0,0,0,0,0,0,Lobby 4,Quarterfinals,,,,
1.0,DNZY,117,11,2,1,22,7,7,1,11,Lobby 1,Semifinals,1.0,20.0,9.0,13.0
2.0,VG,57,8,17,5,6,3,12,14,8,Lobby 1,Semifinals,18.0,0.0,20.0,0.0
3.0,Phantom,56,3,3,8,4,2,4,11,0,Lobby 1,Semifinals,6.0,3.0,3.0,13.0
4.0,Bots,52,1,10,17,0,1,9,12,3,Lobby 1,Semifinals,4.0,0.0,19.0,0.0
5.0,ARENA,40,16,0,4,2,4,11,4,5,Lobby 1,Semifinals,14.0,4.0,10.0,0.0
6.0,Lowkey,37,7,2,2,8,13,1,9,1,Lobby 1,Semifinals,7.0,3.0,12.0,3.0
7.0,Sovereign,37,14,0,18,0,6,2,8,0,Lobby 1,Semifinals,9.0,2.0,1.0,13.0
8.0,LVTHN,37,17,1,7,0,11,0,2,11,Lobby 1,Semifinals,5.0,4.0,5.0,0.0
9.0,Systematic,34,2,3,6,0,17,0,3,5,Lobby 1,Semifinals,17.0,0.0,4.0,2.0
10.0,DYSON,29,5,7,14,3,18,0,7,1,Lobby 1,Semifinals,10.0,0.0,6.0,5.0
11.0,姐妹花,27,13,0,19,0,10,0,10,3,Lobby 1,Semifinals,2.0,9.0,15.0,0.0
12.0,RYU,26,18,3,3,1,9,1,5,0,Lobby 1,Semifinals,3.0,1.0,16.0,0.0
13.0,END2,23,10,1,11,3,19,0,6,4,Lobby 1,Semifinals,8.0,1.0,7.0,3.0
14.0,HP,20,15,0,15,1,5,1,16,0,Lobby 1,Semifinals,19.0,0.0,2.0,3.0
15.0,INX,19,12,1,10,5,15,3,17,1,Lobby 1,Semifinals,11.0,3.0,11.0,0.0
16.0,MWB,19,6,3,9,0,8,2,19,1,Lobby 1,Semifinals,15.0,4.0,13.0,0.0
17.0,SLA,18,9,2,12,2,14,6,15,1,Lobby 1,Semifinals,20.0,0.0,8.0,0.0
18.0,GSUB,14,4,3,16,0,12,0,18,0,Lobby 1,Semifinals,12.0,1.0,17.0,3.0
19.0,Monkey Predator,6,19,0,13,1,16,0,20,0,Lobby 1,Semifinals,13.0,2.0,14.0,0.0
20.0,ASC,5,20,0,20,0,20,0,13,4,Lobby 1,Semifinals,16.0,0.0,18.0,0.0
1.0,YTS,95,2,18,16,0,1,21,1,14,Lobby 2,Semifinals,10.0,3.0,14.0,3.0
2.0,MDYB,82,3,12,13,8,18,3,11,8,Lobby 2,Semifinals,5.0,6.0,2.0,23.0
3.0,AIC WIBU,67,8,2,1,8,2,8,4,7,Lobby 2,Semifinals,12.0,3.0,3.0,3.0
4.0,Horizon,46,16,1,8,6,15,3,10,5,Lobby 2,Semifinals,2.0,13.0,9.0,2.0
5.0,JET,46,1,5,3,13,16,1,9,2,Lobby 2,Semifinals,11.0,0.0,10.0,1.0
6.0,DRG,36,19,0,9,0,7,1,13,1,Lobby 2,Semifinals,3.0,3.0,1.0,6.0
7.0,CHILL,34,4,4,17,0,12,5,18,0,Lobby 2,Semifinals,4.0,6.0,6.0,5.0
8.0,OGL,33,9,1,4,1,4,1,3,2,Lobby 2,Semifinals,9.0,3.0,5.0,0.0
9.0,AVG,31,7,1,12,4,13,1,2,5,Lobby 2,Semifinals,14.0,3.0,13.0,1.0
10.0,ZeroTwo,28,13,0,5,5,3,4,16,0,Lobby 2,Semifinals,13.0,0.0,4.0,1.0
11.0,SMDG,25,5,8,7,4,14,2,17,0,Lobby 2,Semifinals,19.0,0.0,7.0,0.0
12.0,Team Sidai,23,18,0,2,2,10,0,15,0,Lobby 2,Semifinals,8.0,3.0,11.0,3.0
13.0,MIX-ONE,22,17,0,19,0,17,0,19,0,Lobby 2,Semifinals,1.0,6.0,8.0,2.0
14.0,REIGN,16,15,0,6,3,9,0,12,1,Lobby 2,Semifinals,6.0,2.0,18.0,0.0
15.0,HAKA,15,6,3,15,0,5,2,8,0,Lobby 2,Semifinals,18.0,0.0,0.0,0.0
16.0,okok,13,14,1,11,0,11,0,5,5,Lobby 2,Semifinals,17.0,0.0,16.0,0.0
17.0,VOID,11,11,2,18,0,19,0,6,3,Lobby 2,Semifinals,15.0,1.0,17.0,0.0
18.0,Sanity,11,12,1,10,1,8,0,7,0,Lobby 2,Semifinals,16.0,0.0,12.0,0.0
19.0,MASQ,11,10,0,14,0,6,0,14,0,Lobby 2,Semifinals,7.0,0.0,15.0,0.0
20.0,BSTD2,0,20,0,20,0,20,0,20,0,Lobby 2,Semifinals,20.0,0.0,0.0,0.0
1.0,YTS,80,1,12,15,2,14,2,1,14,Lobby 1,Finals,3.0,7.0,5.0,6.0
2.0,AVG,78,2,12,1,11,18,0,2,10,Lobby 1,Finals,4.0,4.0,7.0,3.0
3.0,DNZY,69,4,9,2,12,3,9,16,3,Lobby 1,Finals,17.0,4.0,8.0,9.0
4.0,MDYB,64,16,3,3,5,19,0,10,2,Lobby 1,Finals,1.0,12.0,1.0,9.0
5.0,ZeroTwo,45,11,0,7,3,4,5,12,1,Lobby 1,Finals,2.0,12.0,9.0,3.0
6.0,Phantom,40,15,0,16,0,2,7,8,2,Lobby 1,Finals,13.0,2.0,2.0,7.0
7.0,Bots,31,5,2,8,2,1,8,15,0,Lobby 1,Finals,18.0,0.0,17.0,0.0
8.0,VG,27,19,0,4,7,16,3,14,6,Lobby 1,Finals,14.0,3.0,14.0,0.0
9.0,Horizon,26,20,0,13,3,6,1,3,5,Lobby 1,Finals,11.0,5.0,18.0,0.0
10.0,Systematic,26,8,0,11,1,13,1,7,2,Lobby 1,Finals,7.0,0.0,4.0,7.0
11.0,OGL,26,3,5,9,0,9,0,5,1,Lobby 1,Finals,8.0,2.0,15.0,0.0
12.0,AIC WIBU,24,13,4,14,0,5,10,19,0,Lobby 1,Finals,10.0,1.0,11.0,0.0
13.0,Sovereign,24,12,0,6,2,8,3,13,1,Lobby 1,Finals,5.0,1.0,6.0,3.0
14.0,Lowkey,21,14,0,5,7,17,0,6,2,Lobby 1,Finals,6.0,0.0,12.0,0.0
15.0,ARENA,20,18,1,18,0,11,6,17,0,Lobby 1,Finals,9.0,3.0,10.0,5.0
16.0,CHILL,19,6,0,12,1,15,0,4,8,Lobby 1,Finals,20.0,0.0,20.0,0.0
17.0,DYSON,18,10,2,20,0,20,0,20,0,Lobby 1,Finals,12.0,3.0,3.0,3.0
18.0,DRG,14,7,3,10,0,7,0,11,1,Lobby 1,Finals,19.0,0.0,13.0,0.0
19.0,JET,5,9,0,17,0,12,1,18,0,Lobby 1,Finals,15.0,0.0,16.0,0.0
20.0,LVTHN,4,17,0,19,0,10,0,9,0,Lobby 1,Finals,16.0,0.0,19.0,0.0
