Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SHEESH,50,1,16,8,0,10,5,102,11
2.0,MoJo,47,11,2,3,4,6,10,29,11
3.0,Sussy Bakas,45,7,8,1,18,11,0,63,0
4.0,RL,42,5,1,6,4,4,5,112,8
5.0,TSS,41,12,2,5,4,1,10,54,4
6.0,RT,29,15,2,9,3,3,4,45,5
7.0,Select,27,4,4,4,3,8,3,92,3
8.0,AM,26,19,1,16,3,2,10,111,2
9.0,SLS,26,8,2,2,5,5,1,73,0
10.0,CenterZone,24,3,9,18,3,14,4,17 00,0
11.0,SMP,20,20,0,7,1,7,4,37,2
12.0,TDG,17,2,2,15,0,12,1,131,2
13.0,ZooWeeMama,8,16,1,14,1,15,0,151,3
14.0,Midnight MX,7,18,0,20,0,19,3,141,3
15.0,ROT,6,9,1,13,1,16,0,160,1
16.0,Them Boiz,6,6,1,11,0,13,0,180,0
17.0,T&H,5,10,2,19,0,18,1,200,0
18.0,Melon Hogs,4,17,0,17,1,9,0,121,0
19.0,TEAM Workaholics,4,13,1,10,0,20,0,190,0
20.0,Apelization,4,14,0,12,0,17,0,82,0
