Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AST,44,13,3,1,13,4,6,13,3
2.0,CPR Certified,37,1,14,15,3,10,3,15,1
3.0,LM,34,6,3,7,5,18,3,3,10
4.0,JOYBOYS,34,2,4,16,0,1,8,12,0
5.0,InevitableGaming,33,15,1,11,0,7,0,1,15
6.0,LVG,30,8,7,8,3,5,6,5,2
7.0,Never Lucky,29,12,3,5,4,6,3,2,2
8.0,MOAN,28,11,4,2,6,11,3,10,2
9.0,Beamer Bros,28,9,1,17,0,2,8,4,3
10.0,SUP,24,14,4,13,3,3,6,9,0
11.0,LZR,21,17,1,6,10,15,0,11,5
12.0,Corruption,19,4,2,14,0,8,4,7,2
13.0,MAP,18,10,0,3,4,19,0,6,2
14.0,CCE,17,7,1,4,5,9,1,18,0
15.0,hi rollers,15,20,0,10,0,14,3,14,8
16.0,Hi,13,3,6,18,0,20,0,17,0
17.0,SJP,12,5,4,20,0,12,1,8,0
18.0,LacklusterTalent,5,16,0,12,0,13,3,16,0
19.0,SoloQC,3,19,1,9,0,17,0,19,0
20.0,RDJ,0,18,0,19,0,16,0,20,0
