A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TL,82,10,3,1,7,1,9,1,11,2,5,18,0
2.0,GFORCE,66,16,5,7,11,19,0,2,10,3,16,9,3
3.0,FUR,52,9,6,2,4,5,5,16,3,12,3,2,6
4.0,ESA,47,2,0,8,4,12,3,9,0,20,1,1,13
5.0,C9,45,18,0,9,0,7,2,10,3,1,9,3,5
6.0,100T,39,3,12,12,3,8,0,5,1,4,3,20,1
7.0,XSET,36,1,10,17,0,17,1,11,5,17,0,14,6
8.0,TSM,36,4,4,4,0,4,2,8,3,5,0,8,4
9.0,LZR,34,5,4,13,4,14,1,3,5,13,1,7,2
10.0,BBG,32,13,0,18,3,9,4,6,5,8,5,6,4
11.0,RNG,28,20,0,3,8,13,7,13,0,6,1,19,0
12.0,OA,27,19,3,11,0,3,5,19,0,14,0,5,6
13.0,BP,26,8,2,6,5,2,4,17,0,11,0,17,0
14.0,NM,25,7,2,5,5,15,4,14,0,18,3,10,0
15.0,G2,22,11,3,10,2,16,0,12,0,15,3,4,4
16.0,LVG,17,12,1,14,0,11,0,4,5,9,0,12,0
17.0,CLX,16,6,0,15,0,6,1,7,5,16,0,16,0
18.0,BAD,12,14,0,19,0,10,3,15,0,19,0,11,4
19.0,CAS,10,17,1,16,0,18,0,18,0,10,6,13,0
20.0,WASH,6,15,0,20,0,20,0,20,0,7,1,15,0
