A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,G2,82,19,0,1,15,17,1,7,4,1,12,1,11
2.0,SCRY,51,15,4,18,0,5,10,13,3,2,15,6,1
3.0,RCO,48,9,4,2,4,1,9,10,5,13,0,18,0
4.0,BP,45,12,4,5,2,7,4,6,5,10,2,2,6
5.0,LMK,45,1,10,10,3,8,2,5,0,7,0,7,4
6.0,TSM,42,16,0,6,0,18,1,1,13,4,5,14,2
7.0,CLG,42,3,6,17,0,15,3,2,11,5,0,12,0
8.0,XSET,40,6,3,11,3,3,4,9,4,3,2,15,3
9.0,NRG,36,18,1,20,0,2,7,4,3,8,1,4,3
10.0,CLT,29,5,7,15,0,19,0,20,0,14,6,8,8
11.0,GHOST,29,4,2,19,0,9,5,15,0,17,1,3,6
12.0,LZR,28,20,0,4,11,11,1,16,0,9,5,11,2
13.0,WASH,27,8,1,3,5,4,4,17,3,20,0,20,0
14.0,DY,26,2,4,14,2,13,0,8,3,19,0,9,2
15.0,NM,22,14,0,7,5,16,0,11,1,6,4,10,2
16.0,AP,18,10,2,8,0,10,0,3,1,18,1,17,1
17.0,BAD,15,13,0,9,0,12,0,14,1,12,0,5,4
18.0,OXG,14,7,3,13,1,6,2,19,0,16,0,13,0
19.0,RNG,10,11,1,12,3,14,1,12,0,15,0,16,0
20.0,CLX,7,17,3,16,1,20,0,18,1,11,1,19,0
