A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NRG,82,13,2,7,5,1,17,1,19,7,8,17,0
2.0,TSM,75,5,2,1,11,7,6,3,7,4,2,3,9
3.0,AP,63,18,0,3,6,2,6,2,9,11,3,2,4
4.0,CLG,58,1,18,8,7,12,2,5,3,9,6,14,0
5.0,DY,40,2,8,15,0,10,1,14,0,2,3,7,3
6.0,LZR,33,6,0,4,2,19,0,4,3,3,6,8,0
7.0,RCO,32,15,1,11,0,11,1,8,2,1,10,13,0
8.0,XSET,30,20,0,14,3,13,1,10,7,6,9,10,1
9.0,G2,30,9,5,9,4,17,2,13,0,18,0,4,9
10.0,NM,28,16,0,12,2,20,0,11,1,14,1,1,9
11.0,SCRY,26,19,0,10,0,8,6,15,0,12,3,9,9
12.0,OXG,26,4,3,5,4,4,2,18,0,17,0,19,3
13.0,LMK,26,11,0,2,5,5,0,7,3,20,0,15,0
14.0,GHOST,23,14,2,16,1,3,5,16,0,19,1,6,3
15.0,CLX,22,10,0,6,8,15,0,12,4,15,0,11,1
16.0,RNG,20,7,6,18,1,14,3,6,1,10,0,18,0
17.0,CLT,20,3,4,20,0,16,0,9,0,5,3,20,0
18.0,BP,17,17,0,13,0,9,3,19,0,13,3,5,3
19.0,BAD,14,8,2,17,2,18,3,17,0,8,1,12,1
20.0,WASH,8,12,0,19,1,6,1,20,0,16,1,16,1
