C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,XSET,76,3,8,5,8,15,0,1,9,5,4,1,7
2.0,ESA,54,9,4,18,0,2,8,20,0,1,12,4,2
3.0,SSG,51,1,13,10,2,14,5,4,9,8,0,16,0
4.0,BBG,48,2,12,3,11,10,0,6,2,17,2,19,0
5.0,100T,45,14,0,2,8,7,3,2,5,9,3,12,1
6.0,FUR,45,5,2,4,3,19,0,5,6,2,7,6,2
7.0,SXG,43,15,6,11,0,3,16,11,4,10,0,13,4
8.0,COL,38,8,0,12,3,1,6,15,0,7,0,3,3
9.0,G2,35,13,2,16,0,5,4,18,0,3,7,8,8
10.0,DY,33,6,4,8,2,13,0,7,3,6,11,14,0
11.0,EST,32,16,2,1,8,16,0,9,0,4,0,11,2
12.0,RT,28,10,0,15,0,4,3,3,2,18,0,5,4
13.0,TOR,27,11,0,9,1,18,0,14,1,12,1,2,10
14.0,SEN,23,19,0,19,3,8,2,17,3,13,8,15,3
15.0,SNRS,21,4,0,17,0,17,1,12,8,20,0,10,4
16.0,NEAN,16,7,3,13,3,20,0,13,4,16,1,20,0
17.0,BAD,15,18,0,7,3,9,1,16,1,14,4,17,0
18.0,CLG,15,20,0,6,1,12,3,10,0,11,0,9,2
19.0,SHEESH,13,12,0,14,1,11,0,8,0,15,2,18,4
20.0,OXG,10,17,0,20,0,6,4,19,0,19,0,7,0
