B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,NRG,63,1,15,1,7,9,2,13,7,10,0,19,3
2.0,G2,60,9,2,3,13,11,6,3,8,12,2,4,6
3.0,ESA,48,8,6,10,6,2,10,8,3,8,3,7,0
4.0,SSG,47,5,2,5,1,4,3,2,5,2,5,20,0
5.0,GHOST,44,2,8,16,0,20,0,19,0,1,14,15,0
6.0,UNL,39,7,1,9,3,3,3,16,3,5,6,11,6
7.0,NEAN,38,6,1,14,0,8,0,7,7,16,0,1,9
8.0,PGG,37,4,2,8,3,5,3,18,1,4,4,5,4
9.0,NBL,36,15,1,4,4,14,0,12,3,13,3,2,7
10.0,LZR,36,3,8,17,0,15,3,6,0,9,4,3,1
11.0,RNG,34,11,6,15,0,6,3,9,1,7,6,6,5
12.0,FUR,33,18,0,18,0,1,14,14,0,20,0,10,4
13.0,XSET,29,19,0,12,1,12,0,1,10,15,0,8,1
14.0,SHEESH,29,13,0,7,11,7,4,11,0,14,1,14,3
15.0,CLG,24,12,1,2,9,16,0,17,1,11,0,17,2
16.0,100T,20,16,0,20,0,10,2,4,2,6,5,18,1
17.0,BAD,16,14,3,13,0,17,0,15,0,3,3,16,0
18.0,BW,13,17,0,11,1,19,3,10,3,18,0,12,2
19.0,ERA,11,10,1,19,0,13,0,5,0,17,0,9,1
20.0,LMX,4,20,0,6,0,18,0,20,0,19,0,13,0
