A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,COL,76,1,10,6,4,20,0,1,13,9,2,2,9
2.0,SEN,66,3,7,2,6,9,3,14,8,10,6,5,11
3.0,DY,55,11,5,8,3,1,7,4,5,2,6,20,0
4.0,TSM,48,19,0,18,0,8,5,8,3,4,9,1,10
5.0,BBG,48,15,2,3,9,4,13,7,3,11,3,14,0
6.0,CLX,35,2,5,7,7,13,2,6,3,20,0,8,0
7.0,OXG,35,5,3,5,3,3,4,5,3,13,0,10,0
8.0,PK,34,6,0,1,9,18,0,20,0,12,5,13,3
9.0,AM,31,12,2,11,3,15,3,12,0,8,5,3,5
10.0,E8,30,8,1,16,0,2,1,11,3,7,0,4,5
11.0,TOR,30,4,5,9,3,12,3,9,0,19,0,7,6
12.0,BP,28,10,0,4,4,14,0,2,6,17,0,15,0
13.0,SXG,27,9,7,13,4,5,7,17,0,14,1,17,0
14.0,SNRS,27,13,0,10,1,7,0,13,0,1,6,12,0
15.0,EST,25,20,0,17,0,6,5,15,0,5,5,16,7
16.0,TL,24,17,0,19,0,10,1,10,4,6,7,9,3
17.0,CLT,21,14,1,20,0,11,0,3,7,16,1,6,0
18.0,C9,20,18,2,14,1,17,4,18,4,3,1,18,0
19.0,MOAN,13,7,7,12,1,19,0,16,0,15,0,19,0
20.0,RT,3,16,0,15,0,16,0,19,1,18,0,11,0
