A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,SSG,73,20,0,7,4,1,10,7,6,2,4,1,10
2.0,ESA,57,8,5,8,3,2,10,20,0,1,12,8,0
3.0,SHEESH,51,18,2,16,5,18,0,1,12,14,6,3,6
4.0,C9,46,7,10,20,0,19,1,10,6,4,10,4,4
5.0,TSM,45,1,7,6,7,11,5,19,3,13,3,13,2
6.0,CLT,42,13,4,3,3,7,0,13,5,6,5,5,6
7.0,E8,42,5,2,1,7,13,1,16,0,12,0,2,5
8.0,TL,40,14,0,5,5,10,6,5,5,9,2,7,6
9.0,G2,34,12,0,2,2,5,1,8,1,3,5,18,2
10.0,PK,32,4,7,4,8,15,0,15,1,20,0,12,3
11.0,100T,30,3,3,10,1,9,1,6,2,8,3,6,1
12.0,AM,28,6,9,9,3,8,3,18,0,10,1,10,1
13.0,XSET,27,9,0,18,2,12,0,2,4,5,2,11,2
14.0,NEAN,23,2,5,17,0,6,0,9,1,15,0,16,2
15.0,MOAN,20,15,0,12,1,3,8,17,1,19,0,14,0
16.0,FUR,17,16,0,11,0,14,2,3,4,11,1,19,0
17.0,BP,16,19,0,14,1,16,0,12,0,7,3,9,5
18.0,CLG,14,11,1,13,0,20,0,4,5,17,0,17,1
19.0,BAD,13,10,2,15,0,4,0,14,1,16,0,15,0
20.0,CLX,6,17,0,19,1,17,4,11,0,18,0,20,0
