,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 27, 2021 - 18:00 PDTWorld's Edge JOYBOYS BenchWarmers SHEEEEEEESH","Round 1 Round 1 September 27, 2021 - 18:00 PDTWorld's Edge JOYBOYS BenchWarmers SHEEEEEEESH","Round 2 Round 2 September 27, 2021 - 18:30 PDTWorld's Edge Noble DUMPERS Never Lucky","Round 2 Round 2 September 27, 2021 - 18:30 PDTWorld's Edge Noble DUMPERS Never Lucky","Round 3 Round 3 September 27, 2021 - 19:00 PDTWorld's Edge Buff Pathfinder Noble O TAMA","Round 3 Round 3 September 27, 2021 - 19:00 PDTWorld's Edge Buff Pathfinder Noble O TAMA","Round 4 Round 4 September 27, 2021 - 19:30 PDTWorld's Edge SHEEEEEEESH O TAMA Noble","Round 4 Round 4 September 27, 2021 - 19:30 PDTWorld's Edge SHEEEEEEESH O TAMA Noble","Round 5 Round 5 September 27, 2021 - 20:00 PDTWorld's Edge SXG BenchWarmers CPR Certified","Round 5 Round 5 September 27, 2021 - 20:00 PDTWorld's Edge SXG BenchWarmers CPR Certified","Round 6 Round 6 September 27, 2021 - 20:30 PDTWorld's Edge O TAMA Noble Buff Pathfinder","Round 6 Round 6 September 27, 2021 - 20:30 PDTWorld's Edge O TAMA Noble Buff Pathfinder"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SXG,61,8,6,7,8,17,3,4,5,1,12,5,1
1,2.0,O TAMA,59,12,2,15,0,3,7,2,4,6,4,1,9
2,3.0,NBL,59,19,0,1,7,2,6,3,3,12,1,2,4
3,4.0,DUMPERS,57,6,11,2,5,14,6,17,0,17,0,6,19
4,5.0,SHEESH,48,3,5,9,0,13,0,1,14,5,0,17,3
5,6.0,BP,47,7,3,14,2,1,12,12,0,18,0,3,6
6,7.0,BW,46,2,8,6,2,10,1,18,1,2,11,16,0
7,8.0,CPR Certified,43,14,0,5,8,5,3,14,1,3,3,4,6
8,9.0,CLX,33,16,0,4,6,8,4,6,10,7,0,20,0
9,10.0,SMP,31,11,2,13,0,7,3,5,10,11,1,10,3
10,11.0,Never Lucky,28,5,4,3,9,19,1,7,0,19,0,19,0
11,12.0,BAD,22,13,8,12,3,12,3,11,1,9,0,13,0
12,13.0,TSS,22,10,2,19,0,6,1,19,0,13,7,15,5
13,14.0,JOYBOYS,22,1,4,18,0,15,0,10,0,20,1,9,0
14,15.0,MOAN,21,4,0,17,0,18,0,8,1,4,7,11,0
15,16.0,RT,20,9,0,8,3,9,0,16,5,14,2,14,2
16,17.0,SUP,17,18,2,16,0,4,1,13,1,15,2,7,1
17,18.0,LF,15,17,0,11,1,11,3,9,4,10,1,18,0
18,19.0,CC,10,15,0,20,0,20,0,15,0,8,5,12,0
19,20.0,FNG NEW ERA,5,20,0,10,1,16,0,20,0,16,0,8,0
