Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,6bnt,55,6,0,1,13,2,11,5,3
2.0,BCG,41,2,13,4,9,16,2,13,2
3.0,Moanerz EU,39,7,8,3,1,1,8,19,0
4.0,1872,35,1,10,7,3,18,0,7,4
5.0,Steamroller,32,10,5,17,0,17,3,1,10
6.0,3FR,29,4,5,14,2,12,2,4,8
7.0,GetAimAssisted,28,3,3,11,2,4,7,6,0
8.0,SCTA,26,9,0,5,7,10,1,8,8
9.0,weeboys,20,17,0,2,7,14,0,11,2
10.0,Zeta,20,5,0,19,0,11,1,2,5
11.0,CG,19,16,5,18,1,5,8,17,1
12.0,TOG,18,11,2,10,1,3,2,18,3
13.0,Young Squad,16,13,1,6,3,20,0,3,1
14.0,3P,12,14,1,9,4,8,1,14,0
15.0,Arigato 4 pts,11,8,1,8,2,7,1,16,0
16.0,ANTG,10,15,1,16,0,9,2,9,2
17.0,OneHit,7,12,1,12,0,6,1,20,0
18.0,Next Gen Esports,6,19,0,20,1,13,2,12,1
19.0,Aim Assist,6,20,0,13,0,15,0,10,2
20.0,NCJA,4,18,0,15,0,19,0,15,2
