Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,PRSTS,53,4,4,2,11,15,3,2,11
2.0,21cm,49,2,16,16,0,9,7,5,11
3.0,plei,44,3,7,10,5,5,13,8,4
4.0,HKE,40,8,1,3,6,1,4,6,5
5.0,ONE HP,38,11,2,1,7,2,6,14,0
6.0,ATK,33,6,4,6,1,20,1,1,9
7.0,CHI,27,5,8,4,2,10,1,7,2
8.0,Dababy,23,18,0,7,4,3,6,12,2
9.0,7Hologram,22,1,7,14,0,19,2,17,0
10.0,NIBL,21,9,1,11,3,7,5,13,5
11.0,ZBW,20,10,1,15,2,4,0,4,4
12.0,Velocity,19,16,0,5,3,8,2,3,1
13.0,letsdrinkforlove,15,13,0,9,7,14,4,18,0
14.0,7200 Slaves,12,12,3,8,0,12,1,9,2
15.0,WICKED,12,7,1,12,0,6,4,16,0
16.0,Justthreeplayers,9,14,0,19,0,13,1,10,4
17.0,Lucendi,5,15,0,13,3,18,0,19,0
18.0,Abysse,4,17,0,18,1,11,2,20,0
19.0,Dojo,2,20,0,17,1,17,0,11,0
20.0,SinoriaL,1,19,0,20,0,16,0,15,0
