Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SSD,53,6,7,2,10,1,8,12,3
2.0,SJP2,50,1,19,7,7,9,6,19,1
3.0,POLSKA,44,3,4,14,1,3,8,2,7
4.0,TRJ,41,4,6,1,11,7,3,15,0
5.0,4ypiki,37,2,3,13,0,2,3,4,7
6.0,4 3 Gang,28,11,1,4,2,8,6,3,4
7.0,SLAP,27,13,9,11,4,10,4,10,4
8.0,HEXA,26,9,1,9,0,17,0,1,9
9.0,HNY,25,10,0,3,7,16,0,6,6
10.0,3turrets1brain,24,5,2,5,3,5,2,9,3
11.0,Trixx,21,18,0,16,4,6,8,7,3
12.0,Uchinix,15,12,1,6,1,20,0,8,7
13.0,Xc,12,7,2,8,1,13,3,17,0
14.0,KYKLOS,11,14,0,15,3,15,0,5,1
15.0,NXB,9,8,3,19,0,12,3,18,0
16.0,MF,7,19,0,18,1,11,1,11,3
17.0,4eSport,7,15,0,10,2,14,0,13,0
18.0,Monkey Milkers,7,16,0,17,0,4,0,14,1
19.0,Royal Mooses,2,17,0,12,1,18,0,16,0
20.0,Wait For Top 6,0,20,0,20,0,19,0,20,0
