Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TREX,74,4,5,3,21,4,3,1,16
2.0,GOD,46,1,15,13,3,6,6,13,5
3.0,Spacegliders,43,3,1,15,2,1,9,4,6
4.0,CRAZYx3,38,6,0,2,6,3,11,15,1
5.0,UTFT,31,11,1,1,9,8,3,12,2
6.0,SPPI,31,9,1,16,0,2,3,3,9
7.0,Yes,29,7,9,12,1,19,3,2,3
8.0,WLS,19,12,3,9,3,11,6,18,3
9.0,NoHalo,19,2,6,18,0,14,0,11,2
10.0,Kissyourhomies,16,18,0,14,2,5,1,5,4
11.0,bn,14,10,3,10,1,16,1,6,2
12.0,ExplosionFusion,12,15,2,7,0,13,4,17,1
13.0,Nuclear Apes,12,8,2,4,1,17,0,10,0
14.0,60fps,11,13,2,6,3,9,0,19,0
15.0,OXR,10,19,1,17,3,7,1,8,0
16.0,Oui,10,16,0,11,0,10,4,7,0
17.0,THE GHOST KILLER,10,14,0,5,0,15,1,14,2
18.0,SVR,8,5,4,19,0,18,0,16,0
19.0,Lunar,7,17,0,8,0,12,0,9,2
20.0,ThatsNotaBoulder,0,20,0,20,0,20,0,20,0
