,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SCARRA LOVERS Estral Esports Onyx Gaming","Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SCARRA LOVERS Estral Esports Onyx Gaming","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kaged Moon Boys Onyx Gaming","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Kaged Moon Boys Onyx Gaming","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Estral Esports Sussy Bakas Onyx Gaming","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Estral Esports Sussy Bakas Onyx Gaming","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Lazarus RAWRXDTEEHEE Siracha","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge Lazarus RAWRXDTEEHEE Siracha"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,EST,47,29,1111,170,11,112,1212,121,11
1,2.0,Onyx,44,37,55,37,77,37,1111,180,0
2,3.0,FNG NEW ERA,38,73,1414,131,33,111,22,45,99
3,4.0,RAWR,36,45,55,92,33,92,11,29,99
4,5.0,LF,31,151,33,54,99,54,44,73,33
5,6.0,LZR,31,102,55,111,44,121,11,112,55
6,7.0,Kaged,31,63,11,112,88,151,0,102,44
7,8.0,Sussy Bakas,30,54,11,82,11,29,1010,160,33
8,9.0,SCARRA LOVERS,30,112,44,102,11,45,66,170,0
9,10.0,Siracha,24,111,0,45,33,160,33,37,55
10,11.0,Moon Boys,24,82,0,29,77,63,11,151,11
11,12.0,IFE,18,180,0,63,33,73,0,54,55
12,13.0,MXGamers,15,121,33,180,0,102,44,82,33
13,14.0,Iron Giant,10,131,22,73,22,82,0,190,0
14,15.0,ZERO,8,200,0,190,0,131,11,63,33
15,16.0,Chesco,7,141,0,121,22,170,0,131,22
16,17.0,Lost Pub Players,7,160,11,151,0,180,0,92,33
17,18.0,RLP,6,92,11,141,0,141,0,111,0
18,19.0,DoorKickingGang,3,170,11,160,22,200,0,200,0
19,20.0,Tin Roof Tacos,1,190,0,200,0,190,0,141,0
