,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 16:00 BRTWorld's Edge Team Cruelty Horus Most Valuable","Round 1 Round 1 October 23, 2021 - 16:00 BRTWorld's Edge Team Cruelty Horus Most Valuable","Round 2 Round 2 October 23, 2021 - 16:35 BRTWorld's Edge clubinvictusaim Fênix Team Omega Team","Round 2 Round 2 October 23, 2021 - 16:35 BRTWorld's Edge clubinvictusaim Fênix Team Omega Team","Round 3 Round 3 October 23, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Cruelty Sobek e-Sports","Round 3 Round 3 October 23, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Cruelty Sobek e-Sports","Round 4 Round 4 October 23, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics LeaveNoWitness","Round 4 Round 4 October 23, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics LeaveNoWitness","Round 5 Round 5 October 23, 2021 - 18:20 BRTWorld's Edge Most Valuable Fênix Team Dynamics","Round 5 Round 5 October 23, 2021 - 18:20 BRTWorld's Edge Most Valuable Fênix Team Dynamics","Round 6 Round 6 October 23, 2021 - 18:55 BRTWorld's Edge LeaveNoWitness BRAZUCAS TEAM Most Valuable","Round 6 Round 6 October 23, 2021 - 18:55 BRTWorld's Edge LeaveNoWitness BRAZUCAS TEAM Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MVP,74,37,22,92,33,111,0,112,1515,112,99,37,44
1,2.0,BRT,70,92,44,160,33,112,1010,54,1212,73,33,29,88
2,3.0,LNW,62,45,11,151,22,102,66,37,11,45,55,112,1515
3,4.0,TC,52,112,88,63,66,29,77,141,33,190,0,73,0
4,5.0,FNX,45,54,44,29,33,131,66,73,33,29,33,180,0
5,6.0,DYN,43,131,0,45,11,92,44,29,33,37,66,63,22
6,7.0,HRS,34,29,1212,180,11,73,11,121,0,82,55,200,0
7,8.0,CIA,34,200,0,112,1515,151,0,111,0,160,0,45,0
8,9.0,WILD,26,63,44,200,0,54,0,200,0,102,33,54,66
9,10.0,OMEGA,25,82,55,37,44,170,0,151,0,54,0,111,11
10,11.0,DGL,23,73,88,141,0,200,0,170,0,151,33,151,66
11,12.0,PRDX,23,170,33,54,22,141,33,63,44,131,0,92,0
12,13.0,SKC,23,102,0,102,33,63,44,102,0,63,44,160,0
13,14.0,SLU,22,121,0,170,22,190,0,45,33,121,55,102,33
14,15.0,SBK,21,190,0,82,22,37,55,131,0,170,33,170,11
15,16.0,Duty calls,20,151,22,131,22,82,99,190,22,200,11,190,0
16,17.0,PD,16,141,0,190,0,180,0,92,33,141,22,121,66
17,18.0,Slav Animals,16,111,0,111,55,160,0,82,33,92,11,141,0
18,19.0,As Misera,16,160,11,73,11,45,22,160,22,180,0,82,0
19,20.0,Love Egirls,5,180,0,121,0,121,0,180,0,111,0,131,11
