,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 16:00 BRTWorld's Edge Fênix Team Skull Cracker clubinvictusaim","Round 1 Round 1 December 4, 2021 - 16:00 BRTWorld's Edge Fênix Team Skull Cracker clubinvictusaim","Round 2 Round 2 December 4, 2021 - 16:35 BRTWorld's Edge Fênix Team Dynamics LeaveNoWitness","Round 2 Round 2 December 4, 2021 - 16:35 BRTWorld's Edge Fênix Team Dynamics LeaveNoWitness","Round 3 Round 3 December 4, 2021 - 17:10 BRTWorld's Edge Paradox Esports SLU Digital Gaming","Round 3 Round 3 December 4, 2021 - 17:10 BRTWorld's Edge Paradox Esports SLU Digital Gaming","Round 4 Round 4 December 4, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics SLU","Round 4 Round 4 December 4, 2021 - 17:45 BRTWorld's Edge Most Valuable Dynamics SLU","Round 5 Round 5 December 4, 2021 - 18:20 BRTWorld's Edge Dynamics As Misera Sobek e-Sports","Round 5 Round 5 December 4, 2021 - 18:20 BRTWorld's Edge Dynamics As Misera Sobek e-Sports","Round 6 Round 6 December 4, 2021 - 18:55 BRTWorld's Edge Fênix Team Wild Esports Most Valuable","Round 6 Round 6 December 4, 2021 - 18:55 BRTWorld's Edge Fênix Team Wild Esports Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FNX,83,112,1515,112,1313,121,0,190,0,54,11,112,1313
1,2.0,DYN,65,45,22,29,22,92,11,29,88,112,1313,82,0
2,3.0,MVP,59,102,66,102,33,45,55,112,55,63,66,37,33
3,4.0,PRDX,49,73,22,160,11,112,1313,82,44,45,33,54,0
4,5.0,SLU,40,180,0,121,55,29,55,37,77,73,33,160,0
5,6.0,PD,36,54,0,45,77,73,44,73,88,190,0,92,0
6,7.0,BRT,35,141,44,73,22,102,44,45,1111,160,0,170,33
7,8.0,TC,34,63,0,141,77,180,33,111,0,151,66,63,99
8,9.0,SBK,30,160,0,54,33,63,1010,131,0,37,0,141,11
9,10.0,WILD,29,131,0,92,33,151,22,180,11,92,55,29,33
10,11.0,CIA,29,37,66,180,0,82,44,54,33,200,0,73,0
11,12.0,SKC,28,29,1010,190,0,160,0,160,33,131,55,180,0
12,13.0,DGL,28,111,44,131,0,37,11,102,0,111,11,111,99
13,14.0,As Misera,28,170,0,82,11,141,0,121,0,29,66,45,33
14,15.0,LNW,18,121,22,37,22,170,0,63,0,170,33,190,0
15,16.0,HRS,15,92,0,200,0,54,22,92,0,82,0,131,22
16,17.0,Slav Animals,14,82,22,63,33,111,11,200,0,141,11,200,0
17,18.0,OMEGA,7,200,0,111,0,200,0,151,0,180,11,151,33
18,19.0,Duty calls,6,190,0,151,0,131,0,141,0,121,0,102,0
19,20.0,Love Egirls,4,151,0,170,0,190,0,170,0,102,0,151,0
