,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 16:00 BRTWorld's Edge Horus LeaveNoWitness Pirate Dream Esports","Round 1 Round 1 November 20, 2021 - 16:00 BRTWorld's Edge Horus LeaveNoWitness Pirate Dream Esports","Round 2 Round 2 November 20, 2021 - 16:35 BRTWorld's Edge Team Singularity Kaizen Esports LeaveNoWitness","Round 2 Round 2 November 20, 2021 - 16:35 BRTWorld's Edge Team Singularity Kaizen Esports LeaveNoWitness","Round 3 Round 3 November 20, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Singularity clubinvictusaim","Round 3 Round 3 November 20, 2021 - 17:10 BRTWorld's Edge BRAZUCAS Team Singularity clubinvictusaim","Round 4 Round 4 November 20, 2021 - 17:45 BRTWorld's Edge Blackhat Esports Fênix Team BRAZUCAS TEAM","Round 4 Round 4 November 20, 2021 - 17:45 BRTWorld's Edge Blackhat Esports Fênix Team BRAZUCAS TEAM","Round 5 Round 5 November 20, 2021 - 18:20 BRTWorld's Edge BRAZUCAS LeaveNoWitness Kaizen Esports","Round 5 Round 5 November 20, 2021 - 18:20 BRTWorld's Edge BRAZUCAS LeaveNoWitness Kaizen Esports","Round 6 Round 6 November 20, 2021 - 18:55 BRTWorld's Edge Fênix Team Team Singularity BRAZUCAS","Round 6 Round 6 November 20, 2021 - 18:55 BRTWorld's Edge Fênix Team Team Singularity BRAZUCAS"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRT,76,73,66,160,33,112,88,37,44,112,1111,37,33
1,2.0,SNG,76,102,11,112,99,29,1212,131,22,54,33,29,1212
2,3.0,FNX,63,63,77,180,11,82,88,29,55,45,66,112,55
3,4.0,LNW,55,29,66,37,99,151,0,141,0,29,77,45,11
4,5.0,HRS,51,112,1818,82,44,73,44,160,0,131,11,82,44
5,6.0,DC,39,54,0,45,33,102,44,45,1111,82,33,190,0
6,7.0,CIA,38,200,0,54,77,37,99,54,44,190,11,92,0
7,8.0,BHT,37,121,0,151,22,45,22,112,1313,111,0,200,0
8,9.0,KZN,32,141,11,29,44,200,0,92,0,37,33,73,22
9,10.0,FSN,28,190,0,102,0,54,55,82,33,121,11,63,77
10,11.0,ElemenT,26,131,0,121,0,63,33,200,0,151,33,54,1010
11,12.0,PD,25,37,55,92,22,111,44,111,22,141,0,160,0
12,13.0,AIM,24,170,0,63,66,121,0,73,22,63,33,111,22
13,14.0,OF,16,82,0,73,11,141,0,121,0,73,33,121,11
14,15.0,As Misera,15,111,33,131,33,170,0,180,0,180,33,151,33
15,16.0,PTD,14,92,33,170,0,131,0,102,11,92,33,170,0
16,17.0,NG,14,45,11,111,11,160,0,151,33,160,0,141,11
17,18.0,PRDX,12,151,11,141,11,180,0,170,0,102,66,180,0
18,19.0,OMEGA,11,160,0,200,0,190,0,63,55,170,0,131,22
19,20.0,Duty calls,6,180,11,190,11,92,0,190,0,200,0,102,0
