,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge BRAZUCAS Elevate Tekila","Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge BRAZUCAS Elevate Tekila","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge clubinvictusaim Paradox Esports Team DeftFox","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge clubinvictusaim Paradox Esports Team DeftFox","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Horus Fênix Team Elevate","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Horus Fênix Team Elevate","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge BRAZUCAS Tekila LeaveNoWitness","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge BRAZUCAS Tekila LeaveNoWitness","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Tekila Horus Insomnia","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Tekila Horus Insomnia","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Elevate BRAZUCAS clubinvictusaim","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Elevate BRAZUCAS clubinvictusaim"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,BRT,86,112,1313,63,99,151,0,112,1212,82,55,29,88
1,2.0,FNX,59,54,88,45,77,29,1212,131,0,131,11,54,77
2,3.0,HRS,57,131,11,54,22,112,88,73,44,29,66,73,44
3,4.0,TK,56,37,55,82,33,141,33,29,44,112,88,92,0
4,5.0,ELV,56,29,77,73,0,37,33,92,22,54,44,112,33
5,6.0,FL,42,45,66,131,0,45,1212,102,11,73,44,82,11
6,7.0,DFX,36,92,0,37,88,170,11,54,22,63,22,45,22
7,8.0,CIA,36,73,0,112,66,63,0,170,0,121,0,37,44
8,9.0,PRDX,35,82,77,29,66,111,0,45,44,160,0,121,0
9,10.0,BRZ,28,111,11,160,11,73,0,151,0,45,88,63,55
10,11.0,LNW,26,121,11,121,11,54,0,37,99,111,0,141,0
11,12.0,INS,23,170,0,151,0,102,66,82,22,37,22,151,0
12,13.0,ODK,21,141,22,102,11,131,44,160,33,170,0,131,66
13,14.0,PD,20,102,11,92,33,92,22,111,0,102,55,170,0
14,15.0,USB,14,180,0,111,0,82,11,63,0,151,11,102,33
15,16.0,As Misera,11,160,0,141,0,121,0,121,11,92,11,111,33
16,17.0,OMEGA,5,63,0,170,0,160,0,141,0,141,0,160,0
17,18.0,Duty calls,1,151,0,180,0,0,0,0,0,0,0,0,0
18,19.0,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,No Org,0,0,0,0,0,0,0,0,0,0,0,0,0
