,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 12:00 BRTWorld's Edge Skull Cracker Union eSports Br Digital Gaming","Round 1 Round 1 October 16, 2021 - 12:00 BRTWorld's Edge Skull Cracker Union eSports Br Digital Gaming","Round 2 Round 2 October 16, 2021 - 12:35 BRTWorld's Edge Insomnia Elevate Skull Cracker","Round 2 Round 2 October 16, 2021 - 12:35 BRTWorld's Edge Insomnia Elevate Skull Cracker","Round 3 Round 3 October 16, 2021 - 13:10 BRTWorld's Edge Union eSports Br Wild Esports Team Cruelty","Round 3 Round 3 October 16, 2021 - 13:10 BRTWorld's Edge Union eSports Br Wild Esports Team Cruelty","Round 4 Round 4 October 16, 2021 - 13:45 BRTWorld's Edge Elevate No Org Insomnia","Round 4 Round 4 October 16, 2021 - 13:45 BRTWorld's Edge Elevate No Org Insomnia","Round 5 Round 5 October 16, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports ODDIK Elevate","Round 5 Round 5 October 16, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports ODDIK Elevate","Round 6 Round 6 October 16, 2021 - 14:55 BRTWorld's Edge Wild Esports Skull Cracker Union eSports Br","Round 6 Round 6 October 16, 2021 - 14:55 BRTWorld's Edge Wild Esports Skull Cracker Union eSports Br"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FL,70,121,0,45,1010,63,1313,141,11,112,1515,63,66
1,2.0,SKC,67,112,1212,37,33,141,66,160,33,63,22,29,99
2,3.0,USB,61,29,66,92,44,112,1111,180,0,45,33,37,22
3,4.0,ELV,59,111,0,29,1515,92,22,112,77,37,22,82,0
4,5.0,INS,53,170,0,112,66,45,0,37,66,151,44,45,77
5,6.0,WILD,51,180,11,131,11,29,66,92,22,102,44,112,1111
6,7.0,ODK,39,82,77,63,55,73,11,111,33,29,55,200,0
7,8.0,BRZ,37,63,11,54,22,111,0,45,55,73,44,54,55
8,9.0,DFX,29,73,33,73,55,54,22,54,22,200,11,151,11
9,10.0,TC,27,45,66,170,11,37,33,200,0,170,0,141,44
10,11.0,DYN,22,54,22,141,0,102,0,63,11,54,55,160,0
11,12.0,MVP,21,160,33,160,0,131,33,121,66,190,33,111,33
12,13.0,DGL,20,37,77,121,0,180,0,170,11,121,0,73,0
13,14.0,Love Egirls,19,92,0,102,11,151,33,82,44,180,0,102,22
14,15.0,Slav Animals,19,102,55,82,22,160,0,102,22,82,11,131,0
15,16.0,No Org,19,190,44,180,0,170,0,29,33,131,22,190,0
16,17.0,SLU,14,131,0,111,22,121,0,190,0,111,33,92,33
17,18.0,SBK,10,141,0,151,0,200,0,151,33,92,22,170,0
18,19.0,Natural Killer,9,200,0,200,0,82,0,73,33,141,0,180,0
19,20.0,TK,5,151,0,190,0,190,0,131,11,160,11,121,0
