,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 12:00 BRTWorld's Edge Skull Cracker Union eSports Br Digital Gaming","Round 1 Round 1 October 16, 2021 - 12:00 BRTWorld's Edge Skull Cracker Union eSports Br Digital Gaming","Round 2 Round 2 October 16, 2021 - 12:35 BRTWorld's Edge Insomnia Elevate Skull Cracker","Round 2 Round 2 October 16, 2021 - 12:35 BRTWorld's Edge Insomnia Elevate Skull Cracker","Round 3 Round 3 October 16, 2021 - 13:10 BRTWorld's Edge Union eSports Br Wild Esports Team Cruelty","Round 3 Round 3 October 16, 2021 - 13:10 BRTWorld's Edge Union eSports Br Wild Esports Team Cruelty","Round 4 Round 4 October 16, 2021 - 13:45 BRTWorld's Edge Elevate No Org Insomnia","Round 4 Round 4 October 16, 2021 - 13:45 BRTWorld's Edge Elevate No Org Insomnia","Round 5 Round 5 October 16, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports ODDIK Elevate","Round 5 Round 5 October 16, 2021 - 14:20 BRTWorld's Edge Fake Love E-Sports ODDIK Elevate","Round 6 Round 6 October 16, 2021 - 14:55 BRTWorld's Edge Wild Esports Skull Cracker Union eSports Br","Round 6 Round 6 October 16, 2021 - 14:55 BRTWorld's Edge Wild Esports Skull Cracker Union eSports Br"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FL,70,12,0,4,10,6,13,14,1,1,15,6,6
1,2.0,SKC,67,1,12,3,3,14,6,16,3,6,2,2,9
2,3.0,USB,61,2,6,9,4,1,11,18,0,4,3,3,2
3,4.0,ELV,59,11,0,2,15,9,2,1,7,3,2,8,0
4,5.0,INS,53,17,0,1,6,4,0,3,6,15,4,4,7
5,6.0,WILD,51,18,1,13,1,2,6,9,2,10,4,1,11
6,7.0,ODK,39,8,7,6,5,7,1,11,3,2,5,20,0
7,8.0,BRZ,37,6,1,5,2,11,0,4,5,7,4,5,5
8,9.0,DFX,29,7,3,7,5,5,2,5,2,20,1,15,1
9,10.0,TC,27,4,6,17,1,3,3,20,0,17,0,14,4
10,11.0,DYN,22,5,2,14,0,10,0,6,1,5,5,16,0
11,12.0,MVP,21,16,3,16,0,13,3,12,6,19,3,11,3
12,13.0,DGL,20,3,7,12,0,18,0,17,1,12,0,7,0
13,14.0,Love Egirls,19,9,0,10,1,15,3,8,4,18,0,10,2
14,15.0,Slav Animals,19,10,5,8,2,16,0,10,2,8,1,13,0
15,16.0,No Org,19,19,4,18,0,17,0,2,3,13,2,19,0
16,17.0,SLU,14,13,0,11,2,12,0,19,0,11,3,9,3
17,18.0,SBK,10,14,0,15,0,20,0,15,3,9,2,17,0
18,19.0,Natural Killer,9,20,0,20,0,8,0,7,3,14,0,18,0
19,20.0,TK,5,15,0,19,0,19,0,13,1,16,1,12,0
