,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 16:00 BRTWorld's Edge Fênix Team As Misera LeaveNoWitness","Round 1 Round 1 October 16, 2021 - 16:00 BRTWorld's Edge Fênix Team As Misera LeaveNoWitness","Round 2 Round 2 October 16, 2021 - 16:35 BRTWorld's Edge Kaizen Esports Team Singularity Blackhat Esports","Round 2 Round 2 October 16, 2021 - 16:35 BRTWorld's Edge Kaizen Esports Team Singularity Blackhat Esports","Round 3 Round 3 October 16, 2021 - 17:10 BRTWorld's Edge BRAZUCAS JUST AIM Horus","Round 3 Round 3 October 16, 2021 - 17:10 BRTWorld's Edge BRAZUCAS JUST AIM Horus","Round 4 Round 4 October 16, 2021 - 17:45 BRTWorld's Edge Plaq Tu Dum Pirate Dream Esports As Misera","Round 4 Round 4 October 16, 2021 - 17:45 BRTWorld's Edge Plaq Tu Dum Pirate Dream Esports As Misera","Round 5 Round 5 October 16, 2021 - 18:20 BRTWorld's Edge Team Singularity Kaizen Esports Dream Conspiracy","Round 5 Round 5 October 16, 2021 - 18:20 BRTWorld's Edge Team Singularity Kaizen Esports Dream Conspiracy","Round 6 Round 6 October 16, 2021 - 18:55 BRTWorld's Edge Team Singularity Blackhat Esports Duty calls","Round 6 Round 6 October 16, 2021 - 18:55 BRTWorld's Edge Team Singularity Blackhat Esports Duty calls"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,114,63,88,29,1616,45,88,73,55,112,1717,112,1616
1,2.0,PTD,47,121,22,54,33,63,11,112,1212,92,33,131,33
2,3.0,FNX,45,112,1313,82,55,190,33,160,22,102,66,180,0
3,4.0,KZN,44,111,44,112,55,170,0,131,33,29,33,54,22
4,5.0,HRS,40,141,22,63,1111,37,1212,151,11,151,0,111,0
5,6.0,As Misera,39,29,33,151,11,102,0,37,1111,63,0,92,0
6,7.0,PD,37,54,44,73,0,73,22,29,33,73,0,63,33
7,8.0,BRT,36,190,22,92,33,112,88,200,11,45,11,160,22
8,9.0,DC,35,45,66,190,0,131,0,141,11,37,1212,121,11
9,10.0,BHT,29,170,0,37,0,151,11,111,11,54,11,29,44
10,11.0,OMEGA,27,160,0,131,11,200,0,45,22,170,33,73,1212
11,12.0,LNW,24,37,22,170,33,92,88,170,0,131,11,190,0
12,13.0,AIM,24,151,11,200,0,29,33,92,0,160,22,45,11
13,14.0,CIA,23,200,0,45,55,111,55,82,0,121,11,170,33
14,15.0,PRDX,22,73,33,121,0,121,0,54,55,141,33,151,0
15,16.0,FSN,21,102,0,160,0,141,22,63,44,82,22,102,33
16,17.0,OF,19,92,22,102,11,54,33,121,22,200,0,82,0
17,18.0,ElemenT,18,180,11,111,33,82,33,102,33,190,33,200,0
18,19.0,Duty calls,16,131,0,180,0,180,0,180,22,111,0,37,55
19,20.0,NG,9,82,33,141,0,160,0,190,0,180,0,141,22
