,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 16:00 BRTWorld's Edge Team Singularity Wild Esports Dynamics","Round 1 Round 1 October 30, 2021 - 16:00 BRTWorld's Edge Team Singularity Wild Esports Dynamics","Round 2 Round 2 October 30, 2021 - 16:35 BRTWorld's Edge Blackhat Esports Nocturns Gaming Sobek e-Sports","Round 2 Round 2 October 30, 2021 - 16:35 BRTWorld's Edge Blackhat Esports Nocturns Gaming Sobek e-Sports","Round 3 Round 3 October 30, 2021 - 17:10 BRTWorld's Edge Dynamics Wild Esports FusioN E-Sport","Round 3 Round 3 October 30, 2021 - 17:10 BRTWorld's Edge Dynamics Wild Esports FusioN E-Sport","Round 4 Round 4 October 30, 2021 - 17:45 BRTWorld's Edge Kaizen EsportsMissing: blackhat eesports JUST AIM","Round 4 Round 4 October 30, 2021 - 17:45 BRTWorld's Edge Kaizen EsportsMissing: blackhat eesports JUST AIM","Round 5 Round 5 October 30, 2021 - 18:20 BRTWorld's Edge Dream Conspiracy Most Valuable Team Singularity","Round 5 Round 5 October 30, 2021 - 18:20 BRTWorld's Edge Dream Conspiracy Most Valuable Team Singularity","Round 6 Round 6 October 30, 2021 - 18:55 BRTWorld's Edge Team Singularity Skull Cracker Most Valuable","Round 6 Round 6 October 30, 2021 - 18:55 BRTWorld's Edge Team Singularity Skull Cracker Most Valuable"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,82,112,1313,111,44,131,66,92,77,37,44,112,1313
1,2.0,BHT,59,45,22,112,88,92,33,29,1414,190,0,54,0
2,3.0,DYN,55,37,1212,54,11,112,1212,180,0,63,33,121,0
3,4.0,WILD,53,29,33,151,0,29,99,45,11,131,0,73,1212
4,5.0,MVP,50,170,0,160,33,102,55,121,33,29,1212,37,88
5,6.0,KZN,41,160,0,73,66,63,22,112,1010,111,33,141,0
6,7.0,FSN,40,92,55,92,44,37,55,54,66,102,33,160,0
7,8.0,SKC,39,82,88,141,44,160,0,102,44,200,0,29,99
8,9.0,DC,36,131,22,102,22,82,11,151,11,112,99,63,0
9,10.0,SBK,31,63,55,37,11,180,0,111,11,73,44,92,44
10,11.0,Love Egirls,29,190,0,45,1111,111,0,63,22,141,33,102,11
11,12.0,Slav Animals,29,73,44,121,33,151,44,73,33,54,33,170,0
12,13.0,OF,29,141,0,82,66,54,33,82,0,45,44,111,11
13,14.0,TC,23,102,22,200,0,45,77,141,0,82,0,131,33
14,15.0,AIM,21,151,0,190,0,121,0,37,22,121,0,45,44
15,16.0,DGL,17,54,0,63,44,170,0,131,22,180,33,200,0
16,17.0,NG,17,121,22,29,33,190,0,200,11,160,0,151,0
17,18.0,ElemenT,10,200,0,170,0,73,11,160,33,151,22,180,0
18,19.0,SLU,10,111,11,131,11,200,11,190,0,92,33,190,0
19,20.0,PTD,5,180,0,180,0,141,0,170,0,170,0,82,22
