,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge Team Cruelty Nocturns Gaming Team Singularity","Round 1 Round 1 December 5, 2021 - 12:00 BRTWorld's Edge Team Cruelty Nocturns Gaming Team Singularity","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge Sobek e-Sports FusioN E-Sport Team Cruelty","Round 2 Round 2 December 5, 2021 - 12:35 BRTWorld's Edge Sobek e-Sports FusioN E-Sport Team Cruelty","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Most Valuable Blackhat Esports FusioN E-Sport","Round 3 Round 3 December 5, 2021 - 13:10 BRTWorld's Edge Most Valuable Blackhat Esports FusioN E-Sport","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge Most Valuable Team Singularity Dynamics","Round 4 Round 4 December 5, 2021 - 13:45 BRTWorld's Edge Most Valuable Team Singularity Dynamics","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Dynamics Most Valuable Team Cruelty","Round 5 Round 5 December 5, 2021 - 14:20 BRTWorld's Edge Dynamics Most Valuable Team Cruelty","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Team Singularity Dream Conspiracy Sobek e-Sports","Round 6 Round 6 December 5, 2021 - 14:55 BRTWorld's Edge Team Singularity Dream Conspiracy Sobek e-Sports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,80,37,55,45,66,45,77,29,66,121,88,112,99
1,2.0,MVP,72,92,66,121,11,112,1212,112,1111,29,66,180,0
2,3.0,TC,61,112,1515,37,99,121,11,92,33,37,44,170,0
3,4.0,SBK,45,111,11,112,1111,141,11,170,44,170,0,37,77
4,5.0,FSN,45,73,0,29,55,37,33,82,33,73,0,45,55
5,6.0,DYN,43,170,11,141,22,54,33,37,0,112,1111,141,11
6,7.0,DGL,40,63,55,92,33,82,66,111,11,45,55,92,55
7,8.0,DC,38,54,44,82,44,73,11,180,0,54,22,29,55
8,9.0,BHT,29,102,22,63,0,29,44,160,0,92,0,54,33
9,10.0,NG,28,29,22,170,0,131,11,131,55,102,33,102,22
10,11.0,WILD,25,45,11,160,0,102,44,45,11,63,0,73,11
11,12.0,SKC,23,121,22,131,22,92,22,54,55,141,33,160,0
12,13.0,KZN,20,151,0,54,0,180,0,73,0,82,33,82,55
13,14.0,AIM,19,131,0,102,33,160,11,141,11,111,33,63,33
14,15.0,PTD,19,82,33,151,0,63,11,63,22,151,0,111,22
15,16.0,ElemenT,16,180,0,73,22,151,22,102,22,160,0,131,33
16,17.0,OF,10,190,0,180,0,111,22,121,44,131,0,121,0
17,18.0,Love Egirls,4,141,0,111,0,170,0,151,0,180,0,151,0
18,19.0,Slav Animals,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,SLU,0,0,0,0,0,0,0,0,0,0,0,0,0
