,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 BRTWorld's Edge Plaq Tu Dum ODDIK Team Singularity","Round 1 Round 1 December 4, 2021 - 12:00 BRTWorld's Edge Plaq Tu Dum ODDIK Team Singularity","Round 2 Round 2 December 4, 2021 - 12:35 BRTWorld's Edge Elevate Team DeftFox JUST AIM","Round 2 Round 2 December 4, 2021 - 12:35 BRTWorld's Edge Elevate Team DeftFox JUST AIM","Round 3 Round 3 December 4, 2021 - 13:10 BRTWorld's Edge Elevate FusioN E-Sport Fake Love E-Sports","Round 3 Round 3 December 4, 2021 - 13:10 BRTWorld's Edge Elevate FusioN E-Sport Fake Love E-Sports","Round 4 Round 4 December 4, 2021 - 13:45 BRTWorld's Edge Elevate Dream Conspiracy OnlyFlans","Round 4 Round 4 December 4, 2021 - 13:45 BRTWorld's Edge Elevate Dream Conspiracy OnlyFlans","Round 5 Round 5 December 4, 2021 - 14:20 BRTWorld's Edge Team Singularity BreakingRulleZ Union eSports Br","Round 5 Round 5 December 4, 2021 - 14:20 BRTWorld's Edge Team Singularity BreakingRulleZ Union eSports Br","Round 6 Round 6 December 4, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Team Singularity Union eSports Br","Round 6 Round 6 December 4, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Team Singularity Union eSports Br"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ELV,105,6,10,1,18,1,9,1,13,10,4,9,8
1,2.0,SNG,82,3,7,14,0,12,0,10,3,1,22,2,18
2,3.0,DFX,53,11,0,2,9,5,6,4,3,5,5,5,3
3,4.0,BRZ,52,7,2,7,3,8,5,7,2,2,4,1,4
4,5.0,FL,45,4,8,17,0,3,12,12,3,8,6,15,0
5,6.0,PTD,45,1,11,9,0,4,4,13,0,6,2,10,3
6,7.0,USB,35,18,0,10,3,13,1,5,3,3,2,3,5
7,8.0,DC,30,15,0,13,5,7,4,2,5,14,0,17,1
8,9.0,KZN,30,5,2,6,3,10,2,18,1,11,3,4,4
9,10.0,ODK,30,2,7,18,0,19,0,11,3,9,3,6,2
10,11.0,AIM,29,10,1,3,1,9,0,6,5,4,0,8,1
11,12.0,OF,28,8,3,4,3,14,3,3,1,13,1,14,0
12,13.0,FSN,26,9,0,11,4,2,2,17,3,7,1,12,0
13,14.0,NG,14,12,3,12,1,16,1,19,0,18,0,7,4
14,15.0,No Org,14,19,0,8,5,15,0,15,2,12,2,18,0
15,16.0,INS,14,17,0,19,0,6,4,8,3,15,1,19,0
16,17.0,ElemenT,10,16,0,5,0,11,0,14,3,19,0,13,0
17,18.0,TK,7,13,0,15,0,17,1,16,0,17,3,16,1
18,19.0,BHT,7,14,0,16,0,18,0,9,3,16,0,11,0
19,20.0,Natural Killer,0,0,0,0,0,0,0,0,0,0,0,0,0
