,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 20, 2021 - 12:00 BRTWorld's Edge Fake Love E-Sports Team DeftFox BreakingRulleZ","Round 1 Round 1 November 20, 2021 - 12:00 BRTWorld's Edge Fake Love E-Sports Team DeftFox BreakingRulleZ","Round 2 Round 2 November 20, 2021 - 12:35 BRTWorld's Edge Most Valuable Sobek e-Sports Team DeftFox","Round 2 Round 2 November 20, 2021 - 12:35 BRTWorld's Edge Most Valuable Sobek e-Sports Team DeftFox","Round 3 Round 3 November 20, 2021 - 13:10 BRTWorld's Edge Elevate Fake Love E-Sports Team DeftFox","Round 3 Round 3 November 20, 2021 - 13:10 BRTWorld's Edge Elevate Fake Love E-Sports Team DeftFox","Round 4 Round 4 November 20, 2021 - 13:45 BRTWorld's Edge Fake Love E-Sports Team Cruelty Slav Animals","Round 4 Round 4 November 20, 2021 - 13:45 BRTWorld's Edge Fake Love E-Sports Team Cruelty Slav Animals","Round 5 Round 5 November 20, 2021 - 14:20 BRTWorld's Edge Skull Cracker Dynamics Love Egirls","Round 5 Round 5 November 20, 2021 - 14:20 BRTWorld's Edge Skull Cracker Dynamics Love Egirls","Round 6 Round 6 November 20, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Sobek e-Sports Team DeftFox","Round 6 Round 6 November 20, 2021 - 14:55 BRTWorld's Edge BreakingRulleZ Sobek e-Sports Team DeftFox"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FL,103,112,1414,121,44,29,1111,112,1616,63,44,45,1212
1,2.0,SBK,58,92,55,29,99,73,44,73,11,54,44,29,55
2,3.0,BRZ,54,37,11,45,33,92,55,82,22,92,33,112,1010
3,4.0,DFX,53,29,77,37,44,37,11,180,0,73,22,37,66
4,5.0,SKC,45,45,66,54,22,190,0,121,33,112,99,73,0
5,6.0,MVP,44,180,0,112,1515,151,0,111,0,45,99,111,0
6,7.0,ELV,42,73,33,131,22,112,1515,131,11,190,0,82,22
7,8.0,TK,40,82,77,180,0,63,11,63,99,82,77,63,33
8,9.0,DYN,35,54,22,92,0,102,33,45,33,29,33,102,0
9,10.0,TC,30,190,0,63,22,54,22,29,66,151,22,131,0
10,11.0,WILD,29,121,55,73,22,82,66,54,33,160,0,141,22
11,12.0,Slav Animals,22,111,22,82,22,160,0,37,55,111,11,151,0
12,13.0,Love Egirls,18,131,0,160,0,170,0,141,0,37,33,54,22
13,14.0,USB,17,141,0,102,33,131,22,170,0,102,0,92,44
14,15.0,ODK,14,63,11,141,11,121,11,190,0,141,22,160,33
15,16.0,No Org,14,102,0,111,22,141,0,92,22,131,22,180,11
16,17.0,SLU,12,151,0,151,55,180,0,151,0,180,0,121,33
17,18.0,DGL,11,160,11,170,0,111,22,102,33,121,0,170,11
18,19.0,INS,9,170,0,190,0,45,11,160,0,170,33,190,0
19,20.0,Natural Killer,0,200,0,200,0,200,0,200,0,200,0,200,0
