Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,O3,67,6,4,6,9,13,6,11,3,1,8,3,10
2.0,TX,66,11,3,3,6,4,5,2,12,4,11,14,1
3.0,GS,66,15,0,12,8,8,11,10,4,2,9,7,16
4.0,EVO BERZ,49,13,0,10,2,1,12,1,6,19,0,9,0
5.0,SNG,45,2,6,2,4,11,0,8,3,8,2,6,4
6.0,PWLS,44,19,0,4,9,17,0,9,6,16,0,1,10
7.0,Estrell,41,1,11,11,0,15,1,6,0,3,5,19,0
8.0,RL.XV,36,3,1,8,0,10,2,3,7,6,4,15,0
9.0,Pavlova,33,4,2,1,4,9,0,13,2,14,0,11,3
10.0,INF,29,14,0,13,2,2,5,7,0,9,2,12,3
11.0,On the Sticks,28,10,3,5,1,6,7,5,1,11,2,17,0
12.0,April,26,17,3,7,2,5,3,15,0,5,3,13,2
13.0,WGGxPK,23,12,3,14,4,16,0,4,3,17,0,4,1
14.0,RL.Genesis,23,9,3,18,0,7,0,19,0,10,1,2,3
15.0,WGG,22,5,12,9,2,19,1,17,0,18,1,18,0
16.0,MBTN,18,16,0,17,0,3,4,18,0,15,3,16,3
17.0,Antiaa,13,8,0,15,0,18,0,12,3,12,1,5,0
18.0,WHIZ,11,18,0,16,0,14,0,14,2,7,2,8,0
19.0,PG,8,7,1,19,0,12,0,16,0,13,0,10,0
20.0,Dimple Esport,0,0,0,0,0,0,0,0,0,0,0,0,0
