Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,DI,75,6,3,1,6,3,9,10,5,3,5,2,7
2.0,DM,65,3,8,4,3,10,4,6,4,1,13,14,3
3.0,Weebs Out,56,2,6,17,2,20,0,4,4,5,5,1,9
4.0,RD,44,18,0,9,4,4,6,2,8,12,0,5,5
5.0,FV,43,4,8,2,6,7,3,16,1,7,4,11,0
6.0,NMS,38,12,1,16,6,6,7,17,0,4,2,4,8
7.0,Dababy,37,11,7,15,0,5,5,7,2,13,0,3,6
8.0,ORCL,36,20,0,10,0,12,3,1,10,9,6,18,0
9.0,CRAZYx3,35,8,6,13,1,2,5,15,3,14,1,10,3
10.0,PRSTS,31,7,4,8,2,15,2,20,0,2,8,19,0
11.0,BCG,30,14,5,7,5,16,0,11,1,10,2,6,7
12.0,NoFear,30,19,1,14,2,9,6,5,5,6,3,9,1
13.0,iEnvy,26,5,0,19,1,1,4,19,0,20,0,7,2
14.0,Aspirateur,25,15,1,12,0,14,0,3,7,8,1,12,3
15.0,SPPI,24,10,0,5,6,13,0,13,1,15,7,20,1
16.0,UTFT,24,1,6,20,0,8,1,8,0,17,1,17,0
17.0,TOG,19,16,1,3,6,18,0,14,3,11,0,16,0
18.0,SCBS,16,9,0,6,4,11,1,9,2,16,0,15,0
19.0,ExplosionFusion,13,13,3,11,2,19,0,12,0,18,0,8,3
20.0,Back to Lobby,2,17,0,18,0,17,1,18,0,19,0,13,0
