,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 20, 2022 - 15:00 JSTWorld's Edge FAV gaming FOR7 αDRaccoon","Round 1 Round 1 March 20, 2022 - 15:00 JSTWorld's Edge FAV gaming FOR7 αDRaccoon","Round 2 Round 2 March 20, 2022 - 15:30 JSTWorld's Edge Crazy Raccoon NORTHEPTION Pro Gaming team Selector","Round 2 Round 2 March 20, 2022 - 15:30 JSTWorld's Edge Crazy Raccoon NORTHEPTION Pro Gaming team Selector","Round 3 Round 3 March 20, 2022 - 16:00 JSTWorld's Edge αDRaccoon V3 VEGA Lag Gaming","Round 3 Round 3 March 20, 2022 - 16:00 JSTWorld's Edge αDRaccoon V3 VEGA Lag Gaming","Round 4 Round 4 March 20, 2022 - 16:30 JSTStorm Point V3 VEGA NORTHEPTION Ravens Zero","Round 4 Round 4 March 20, 2022 - 16:30 JSTStorm Point V3 VEGA NORTHEPTION Ravens Zero","Round 5 Round 5 March 20, 2022 - 17:00 JSTStorm Point Crazy Raccoon NORTHEPTION FAV gaming","Round 5 Round 5 March 20, 2022 - 17:00 JSTStorm Point Crazy Raccoon NORTHEPTION FAV gaming","Round 6 Round 6 March 20, 2022 - 17:30 JSTStorm Point αDRaccoon NORTHEPTION Ravens Zero","Round 6 Round 6 March 20, 2022 - 17:30 JSTStorm Point αDRaccoon NORTHEPTION Ravens Zero"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,αDR,77,3,2,10,5,1,9,4,6,5,5,1,8
1,2.0,CR,72,8,11,1,8,7,1,19,0,1,14,6,6
2,3.0,NTH,61,10,4,2,4,13,0,2,6,2,2,2,6
3,4.0,V3,55,15,2,9,5,2,9,1,13,17,0,9,0
4,5.0,RZ,49,9,2,14,0,4,8,3,4,4,5,3,3
5,6.0,FAV,43,1,8,11,1,20,0,7,1,3,6,5,0
6,7.0,FSV,42,2,17,15,2,8,4,11,1,10,3,20,0
7,8.0,GTS,37,12,1,3,6,5,6,9,0,15,0,7,6
8,9.0,USG,34,4,4,8,5,6,7,18,1,6,3,14,0
9,10.0,FL,28,18,0,7,3,14,3,14,6,20,0,10,9
10,11.0,LAG,24,17,0,18,0,3,4,12,1,14,5,4,0
11,12.0,CAG,23,7,3,12,1,10,0,5,3,12,2,15,2
12,13.0,FCD,22,16,1,5,6,19,0,10,3,9,1,16,3
13,14.0,DTN,20,13,2,13,4,15,2,15,2,7,3,18,0
14,15.0,ORF,20,5,0,4,2,9,0,17,0,16,0,8,5
15,16.0,FLCO,16,6,1,6,2,18,0,13,4,13,1,19,0
16,17.0,YOG,15,14,0,16,0,11,1,8,5,8,1,11,1
17,18.0,DAI,10,19,0,17,0,12,3,20,0,11,4,17,1
18,19.0,REAH,10,20,0,19,0,16,0,6,2,18,0,12,4
19,20.0,IGZ,5,11,0,20,0,17,0,16,3,19,0,13,0
