,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 13, 2022 - 15:00 JSTStorm Point GameWith NORTHEPTION Ravens Zero","Round 1 Round 1 March 13, 2022 - 15:00 JSTStorm Point GameWith NORTHEPTION Ravens Zero","Round 2 Round 2 March 13, 2022 - 15:30 JSTStorm Point Crazy Raccoon Riddle NORTHEPTION","Round 2 Round 2 March 13, 2022 - 15:30 JSTStorm Point Crazy Raccoon Riddle NORTHEPTION","Round 3 Round 3 March 13, 2022 - 16:00 JSTStorm Point DeToNator V3 VEGA GameWith","Round 3 Round 3 March 13, 2022 - 16:00 JSTStorm Point DeToNator V3 VEGA GameWith","Round 4 Round 4 March 13, 2022 - 16:30 JSTWorld's Edge Quintette Fortissimo V3 VEGA IGZIST","Round 4 Round 4 March 13, 2022 - 16:30 JSTWorld's Edge Quintette Fortissimo V3 VEGA IGZIST","Round 5 Round 5 March 13, 2022 - 17:00 JSTWorld's Edge FENNEL Meteor Ravens Zero","Round 5 Round 5 March 13, 2022 - 17:00 JSTWorld's Edge FENNEL Meteor Ravens Zero","Round 6 Round 6 March 13, 2022 - 17:30 JSTWorld's Edge FENNEL TEQWING Flora esports","Round 6 Round 6 March 13, 2022 - 17:30 JSTWorld's Edge FENNEL TEQWING Flora esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FL,73,11,1,9,8,8,4,5,7,1,13,1,7
1,2.0,DTN,49,15,0,6,3,1,11,12,3,13,4,5,6
2,3.0,CR,48,8,3,1,13,12,0,8,4,17,1,7,7
3,4.0,Flora,46,17,2,8,6,13,1,4,5,14,2,3,14
4,5.0,RZ,46,3,7,12,0,6,7,6,5,3,3,11,2
5,6.0,V3,44,19,0,5,0,2,8,2,7,5,2,16,1
6,7.0,GW,43,1,10,13,0,3,8,16,0,15,2,9,0
7,8.0,NTH,42,2,1,3,3,5,4,7,1,4,4,14,0
8,9.0,QF,39,18,0,4,3,11,4,1,8,8,1,12,2
9,10.0,MTR,32,7,6,11,3,19,0,18,0,2,10,18,0
10,11.0,TW,32,4,5,19,0,20,0,10,0,16,4,2,7
11,12.0,BEXT,25,10,7,16,0,4,6,20,0,9,3,19,0
12,13.0,RID,25,13,3,2,8,7,1,19,0,19,0,20,0
13,14.0,IGZ,25,14,1,14,0,10,1,3,5,7,1,8,1
14,15.0,FLCO,23,6,1,20,0,14,3,15,2,11,3,4,3
15,16.0,RUG,21,20,0,17,4,9,2,9,4,6,4,17,0
16,17.0,USG,21,12,1,7,1,15,1,14,2,12,0,13,8
17,18.0,CAG,13,5,1,10,0,16,0,11,0,10,0,6,0
18,19.0,ALV,12,9,1,15,0,17,1,13,3,20,0,10,1
19,20.0,D4RK,6,16,3,18,0,18,0,17,2,18,0,15,0
