,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 12:00 JSTStorm Point Riddle REJECT LFTwac","Round 1 Round 1 March 12, 2022 - 12:00 JSTStorm Point Riddle REJECT LFTwac","Round 2 Round 2 March 12, 2022 - 12:30 JSTStorm Point Riddle Quintette Fortissimo REJECT","Round 2 Round 2 March 12, 2022 - 12:30 JSTStorm Point Riddle Quintette Fortissimo REJECT","Round 3 Round 3 March 12, 2022 - 13:00 JSTStorm Point Team UNITE Flora esports RIG North","Round 3 Round 3 March 12, 2022 - 13:00 JSTStorm Point Team UNITE Flora esports RIG North","Round 4 Round 4 March 12, 2022 - 13:30 JSTWorld's Edge FA kids Team UNITE Meteor","Round 4 Round 4 March 12, 2022 - 13:30 JSTWorld's Edge FA kids Team UNITE Meteor","Round 5 Round 5 March 12, 2022 - 14:00 JSTWorld's Edge RxR Clover Radical Pop Gaming TEQWING","Round 5 Round 5 March 12, 2022 - 14:00 JSTWorld's Edge RxR Clover Radical Pop Gaming TEQWING","Round 6 Round 6 March 12, 2022 - 14:30 JSTWorld's Edge Team UNITE D4RK Esports REJECT","Round 6 Round 6 March 12, 2022 - 14:30 JSTWorld's Edge Team UNITE D4RK Esports REJECT"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,UNI,66,12,2,13,1,1,11,2,6,15,0,1,10
1,2.0,RC,64,2,8,3,6,12,0,5,4,7,1,3,14
2,3.0,RID,59,1,12,1,9,9,4,12,0,6,0,14,3
3,4.0,FAK,54,18,3,12,0,5,4,1,17,12,1,10,9
4,5.0,RXC,49,6,9,9,4,20,0,19,0,1,19,20,0
5,6.0,QF,35,13,0,2,13,10,0,6,1,19,1,7,2
6,7.0,GW,34,7,2,8,6,11,4,4,8,13,1,12,0
7,8.0,MTR,32,15,1,17,0,4,3,3,2,9,3,4,3
8,9.0,D4RK,31,14,3,18,2,18,3,10,6,18,0,2,5
9,10.0,TW,31,4,3,15,0,16,0,11,5,3,5,8,2
10,11.0,LFTW,31,3,5,4,2,14,3,20,0,8,4,13,1
11,12.0,RPG,28,11,1,10,3,8,6,18,0,2,4,16,0
12,13.0,ALV,28,10,5,6,5,7,4,15,0,20,0,6,2
13,14.0,UC,27,5,3,7,4,6,3,8,2,11,1,15,0
14,15.0,RIG-N,26,9,0,5,2,3,6,16,0,16,0,9,3
15,16.0,Flora,26,8,1,20,0,2,2,13,3,5,4,17,0
16,17.0,LDN,26,17,0,11,4,15,0,7,3,10,3,5,5
17,18.0,AVA,12,20,0,19,0,19,0,14,0,4,5,11,0
18,19.0,BEXT,7,19,0,14,0,13,2,17,0,14,2,19,0
19,20.0,RUG,5,16,0,16,0,17,0,9,2,17,1,18,0
