,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 26, 2022 - 15:00 JSTWorld's Edge Crazy Raccoon DeToNator IGZIST","Round 1 Round 1 March 26, 2022 - 15:00 JSTWorld's Edge Crazy Raccoon DeToNator IGZIST","Round 2 Round 2 March 26, 2022 - 15:30 JSTWorld's Edge GameWith NORTHEPTION Riddle","Round 2 Round 2 March 26, 2022 - 15:30 JSTWorld's Edge GameWith NORTHEPTION Riddle","Round 3 Round 3 March 26, 2022 - 16:00 JSTWorld's Edge Flora esports Meteor V3 VEGA","Round 3 Round 3 March 26, 2022 - 16:00 JSTWorld's Edge Flora esports Meteor V3 VEGA","Round 4 Round 4 March 26, 2022 - 16:30 JSTStorm Point Crazy RaccoonMissing: dontus usg Flora esports","Round 4 Round 4 March 26, 2022 - 16:30 JSTStorm Point Crazy RaccoonMissing: dontus usg Flora esports","Round 5 Round 5 March 26, 2022 - 17:00 JSTStorm Point Donuts Unsold Stuff Gaming Crazy Raccoon GameWith","Round 5 Round 5 March 26, 2022 - 17:00 JSTStorm Point Donuts Unsold Stuff Gaming Crazy Raccoon GameWith","Round 6 Round 6 March 26, 2022 - 20:30 JSTStorm Point V3 VEGA DeToNator Crazy Raccoon","Round 6 Round 6 March 26, 2022 - 20:30 JSTStorm Point V3 VEGA DeToNator Crazy Raccoon"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,CR,104,1,11,14,5,14,4,1,15,2,15,3,12
1,2.0,V3,55,8,2,10,3,3,6,4,6,18,0,1,10
2,3.0,Flora,50,20,0,4,6,1,10,3,5,19,0,7,2
3,4.0,GW,47,17,2,1,13,5,0,10,1,3,4,14,1
4,5.0,USG,41,15,0,20,0,13,2,2,9,1,6,15,0
5,6.0,DTN,36,2,5,13,0,12,4,14,1,20,0,2,5
6,7.0,FL,35,10,9,16,0,4,6,15,0,15,3,10,6
7,8.0,FLCO,34,13,6,6,0,7,4,11,1,4,6,5,0
8,9.0,RID,33,4,2,3,4,9,1,9,0,17,4,6,3
9,10.0,MTR,28,14,0,17,0,2,11,12,0,6,2,13,0
10,11.0,RZ,26,5,5,9,1,15,0,16,3,14,3,11,5
11,12.0,BEXT,25,6,5,12,0,18,2,13,2,9,4,8,3
12,13.0,IGZ,25,3,4,5,2,16,0,8,1,5,0,12,0
13,14.0,NTH,24,7,0,2,1,8,0,6,2,7,1,16,0
14,15.0,TW,23,11,1,8,10,6,3,17,1,12,1,20,0
15,16.0,CAG,23,12,0,19,0,19,0,5,5,8,0,4,6
16,17.0,RUG,18,9,1,11,2,17,0,7,3,10,0,9,2
17,18.0,D4RK,13,19,0,15,3,10,6,19,0,16,1,19,0
18,19.0,ALV,12,16,0,7,5,11,0,18,0,13,2,18,0
19,20.0,QF,10,18,4,18,0,20,0,20,0,11,5,17,0
