,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 27, 2022 - 12:00 JSTWorld's Edge United Crew γ Team UNITE LEDIAN MAGICAL","Round 1 Round 1 March 27, 2022 - 12:00 JSTWorld's Edge United Crew γ Team UNITE LEDIAN MAGICAL","Round 2 Round 2 March 27, 2022 - 12:30 JSTWorld's Edge FENNEL Donuts Unsold Stuff Gaming Ravens Zero","Round 2 Round 2 March 27, 2022 - 12:30 JSTWorld's Edge FENNEL Donuts Unsold Stuff Gaming Ravens Zero","Round 3 Round 3 March 27, 2022 - 13:00 JSTWorld's Edge LEDIAN MAGICAL REJECT Donuts Unsold Stuff Gaming","Round 3 Round 3 March 27, 2022 - 13:00 JSTWorld's Edge LEDIAN MAGICAL REJECT Donuts Unsold Stuff Gaming","Round 4 Round 4 March 27, 2022 - 13:30 JSTStorm Point Crazy Raccoon FUNNY LOCO REJECT","Round 4 Round 4 March 27, 2022 - 13:30 JSTStorm Point Crazy Raccoon FUNNY LOCO REJECT","Round 5 Round 5 March 27, 2022 - 14:00 JSTStorm Point Crazy Raccoon V3 VEGA United Crew γ","Round 5 Round 5 March 27, 2022 - 14:00 JSTStorm Point Crazy Raccoon V3 VEGA United Crew γ","Round 6 Round 6 March 27, 2022 - 14:30 JSTStorm Point Crazy Raccoon FENNEL Team UNITE","Round 6 Round 6 March 27, 2022 - 14:30 JSTStorm Point Crazy Raccoon FENNEL Team UNITE"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,CR,86,8,3,12,0,14,4,1,12,1,18,1,9
1,2.0,RC,70,4,8,8,8,2,7,3,5,13,6,4,7
2,3.0,FL,54,16,0,1,9,9,9,18,0,12,0,2,12
3,4.0,UNI,48,2,3,4,5,12,3,7,1,6,2,3,6
4,5.0,V3,47,5,10,10,3,5,4,9,0,2,6,6,0
5,6.0,LDN,43,3,2,7,5,1,8,19,1,10,3,19,0
6,7.0,FLCO,35,7,6,14,0,16,0,2,7,4,3,15,0
7,8.0,RIG-N,34,13,1,6,3,4,6,15,3,20,0,9,9
8,9.0,UC,34,1,11,18,0,18,1,17,0,3,3,18,0
9,10.0,USG,30,20,0,2,4,3,1,5,1,18,0,7,1
10,11.0,DTN,29,10,2,5,5,7,2,8,3,11,4,12,0
11,12.0,FAK,26,12,1,15,3,17,4,10,3,9,3,10,4
12,13.0,IGZ,25,15,5,9,1,10,1,6,6,8,1,11,0
13,14.0,RPG,22,9,1,16,1,6,2,11,2,14,1,5,4
14,15.0,NTH,21,14,1,19,0,15,0,4,4,7,2,8,2
15,16.0,RZ,20,19,0,3,1,8,4,13,3,15,0,14,0
16,17.0,LFTW,11,6,5,13,2,19,0,20,0,16,0,17,0
17,18.0,AVA,9,11,0,11,2,11,1,16,3,17,0,20,0
18,19.0,CAG,9,17,0,17,0,13,1,12,0,5,1,13,0
19,20.0,RXC,4,18,0,20,0,20,0,14,0,19,3,16,0
