Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,LM,94,1,12,1,12,7,1,20,0,2,19,17,5
2.0,CLG,66,14,0,3,11,11,1,1,16,20,0,9,5
3.0,NM,60,10,0,13,2,9,5,2,11,8,4,3,8
4.0,WASH,51,17,3,11,5,20,0,17,5,4,9,2,8
5.0,RCO,49,5,3,2,4,16,1,8,0,6,0,1,3
6.0,OA,46,6,2,9,0,5,7,14,0,3,9,5,7
7.0,SAF,36,4,0,12,2,12,5,6,5,15,0,4,4
8.0,D A B,34,20,0,8,2,6,1,9,1,1,7,11,0
9.0,TDG,31,8,8,7,0,8,3,10,7,19,0,10,2
10.0,LVG,31,11,4,15,2,13,2,11,3,5,1,7,3
11.0,LKM,30,3,12,10,3,14,2,16,0,14,0,13,0
12.0,BAD,29,12,3,20,2,3,8,12,3,13,3,16,0
13.0,CAS,27,7,5,14,1,10,0,3,3,9,1,15,1
14.0,My Neck My Back,27,13,0,5,0,4,5,5,1,10,0,6,2
15.0,RL,25,19,0,16,2,2,7,18,0,11,0,8,2
16.0,ERA,22,15,0,18,0,1,5,15,1,18,1,12,0
17.0,RAWR,21,2,2,19,0,18,0,7,0,7,2,19,2
18.0,CCE,19,18,0,4,10,19,0,19,0,16,1,14,2
19.0,AST,17,9,1,6,3,17,3,13,1,12,0,18,2
20.0,Boston Monsters,7,16,0,17,0,15,1,4,0,17,0,20,0
