Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket,LCQ,Legend
1.0,AK47,125.0,6.0,8.0,1.0,12.0,1.0,13.0,2.0,14.0,3.0,8.0,1.0,15.0,Finals,Last_Chance_Qualifier_1,
2.0,COFFE,118.0,5.0,2.0,2.0,15.0,3.0,12.0,3.0,3.0,1.0,23.0,3.0,8.0,Finals,Last_Chance_Qualifier_1,
3.0,PRDX,55.0,9.0,9.0,11.0,1.0,2.0,4.0,9.0,9.0,9.0,4.0,8.0,5.0,Finals,Last_Chance_Qualifier_1,
4.0,WTN,54.0,2.0,8.0,7.0,3.0,10.0,6.0,8.0,4.0,5.0,4.0,15.0,0.0,Finals,Last_Chance_Qualifier_1,
5.0,RUA6,41.0,3.0,5.0,4.0,2.0,6.0,0.0,7.0,0.0,16.0,0.0,2.0,4.0,Finals,Last_Chance_Qualifier_1,
6.0,Mystical,37.0,13.0,0.0,13.0,3.0,11.0,1.0,6.0,3.0,2.0,2.0,10.0,1.0,Finals,Last_Chance_Qualifier_1,
7.0,GUG,36.0,16.0,0.0,14.0,3.0,9.0,2.0,11.0,0.0,4.0,3.0,7.0,9.0,Finals,Last_Chance_Qualifier_1,
8.0,GOAT,29.0,8.0,2.0,6.0,1.0,13.0,0.0,1.0,1.0,8.0,1.0,16.0,0.0,Finals,Last_Chance_Qualifier_1,
9.0,TERM,27.0,17.0,0.0,5.0,2.0,4.0,1.0,5.0,3.0,14.0,0.0,12.0,0.0,Finals,Last_Chance_Qualifier_1,
10.0,ULW,23.0,7.0,0.0,12.0,0.0,12.0,0.0,4.0,4.0,11.0,0.0,4.0,1.0,Finals,Last_Chance_Qualifier_1,
11.0,SFD,22.0,1.0,6.0,15.0,0.0,16.0,0.0,15.0,0.0,13.0,0.0,13.0,0.0,Finals,Last_Chance_Qualifier_1,
12.0,2k ping,19.0,10.0,3.0,10.0,1.0,5.0,3.0,13.0,0.0,6.0,0.0,17.0,0.0,Finals,Last_Chance_Qualifier_1,
13.0,TVA,18.0,12.0,1.0,3.0,0.0,17.0,0.0,14.0,0.0,7.0,1.0,5.0,0.0,Finals,Last_Chance_Qualifier_1,
14.0,HARD,12.0,14.0,2.0,17.0,0.0,7.0,5.0,17.0,0.0,17.0,0.0,14.0,0.0,Finals,Last_Chance_Qualifier_1,
