Standings,Team.1,Total
1.0,RD,75
2.0,Sheriffs,63
3.0,signelunaire,51
4.0,Team Volpid,35
5.0,NXB,32
6.0,Nuclear Apes,28
7.0,Kvasna,24
8.0,Vain,20
9.0,Lagom,19
10.0,Wellenförmig™,18
11.0,Južni Vetar Gas,10
12.0,Hookahge,8
13.0,Wait For Top 6 A,7
14.0,Insane Vecchio,7
15.0,FloWenZ Esports,6
16.0,Tankiii,5
17.0,Bulba Power,2
18.0,Los Pinguinos,0
