Standings,Team.1,Total
1.0,NoName,67
2.0,OG,61
3.0,Kryptic,38
4.0,Excellents,29
5.0,3 Uomini 1 Gamba,24
6.0,HKE,23
7.0,BWG,22
8.0,Vanaheim Gaming,20
9.0,60fps,19
10.0,MZY,18
11.0,Next Gen Esports,16
12.0,thr33 stack,15
13.0,Murder De Game,11
14.0,SinoriaL,9
15.0,KYKLOS Blue,4
16.0,FishSticks,3
17.0,Amaterasu,1
18.0,Novomatic,0
