Standings,Team.1,Total
1.0,DM,71
2.0,WLS,50
3.0,24K,46
4.0,TRIHARD,33
5.0,BountyHunterGG,31
6.0,iEnvy,28
7.0,VALUE TEAM,28
8.0,NotoriousFamily,25
9.0,Reakless,21
10.0,6bnt,21
11.0,Let’s Carry This,15
12.0,Fluffy Bunnies,14
13.0,DUNDER,10
14.0,Ebic Snake Dewds,7
15.0,DoT-ger,6
16.0,FriendsofBoomers,5
17.0,Space Renegades,4
18.0,Casuals4Fun,4
