Standings,Team.1,Total
1.0,ETH,57
2.0,Pepegi,46
3.0,PXL,43
4.0,LegionF,38
5.0,no team name,35
6.0,PauseChamps,33
7.0,3turrets1brain,26
8.0,KOMANDA A,23
9.0,Senshi,20
10.0,WARM Esport,18
11.0,work hard money,17
12.0,Yeboi Gaming,15
13.0,Ignite,13
14.0,WHO,12
15.0,TASS,7
16.0,AYCEE,4
17.0,Pog Frog,3
18.0,AP827926,0
