Standings,Team.1,Total
1.0,TREX,100
2.0,Illuminary FTW,38
3.0,Lunar,31
4.0,TURKs,28
5.0,NoWay XBox,27
6.0,NurzethexStyleS,27
7.0,Peak Performerz,25
8.0,uwuowoboys,24
9.0,Carnage,17
10.0,TRS Clan,16
11.0,WeHaveNoLives,15
12.0,KYKLOS,13
13.0,Last Light,13
14.0,DSI,13
15.0,SkyFam,12
16.0,Apes Legends,9
17.0,ottr Plus 2,5
18.0,The Clumdogs,3
