,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,RL.XV,66,66
1,2.0,April,60,60
2,3.0,SNG,55,55
3,4.0,PWLS,35,35
4,5.0,WHIZ,32,32
5,6.0,DREAM,27,27
6,7.0,IFPD,26,26
7,8.0,RebellioN,25,25
8,9.0,hello nihao,15,15
9,10.0,Incorporated,14,14
10,11.0,Ryze Empire HK,13,13
11,12.0,Team eXplicit,13,13
12,13.0,Vaczer Esport,12,12
13,14.0,SAINTS,7,7
14,15.0,madzJabol,6,6
15,16.0,EVO.Shadow,6,6
16,17.0,Conquerors,4,4
17,18.0,BOG,4,4
18,19.0,Team Psycho,3,3
19,20.0,JOKO,0,0
