Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,NaresuanSniper,57,1,8,2,3,10,1,1,10,Lobby 1,Round_1,,,,
2.0,Pavlova,53,2,8,3,7,4,6,5,7,Lobby 1,Round_1,,,,
3.0,WAT,43,3,6,1,12,9,3,12,0,Lobby 1,Round_1,,,,
4.0,TX,41,4,3,7,3,6,4,4,15,Lobby 1,Round_1,,,,
5.0,JOKO,26,11,0,11,3,1,6,7,0,Lobby 1,Round_1,,,,
6.0,StrawberryJam,26,5,0,4,3,3,4,9,1,Lobby 1,Round_1,,,,
7.0,Fogyo City,23,8,0,5,0,5,4,2,0,Lobby 1,Round_1,,,,
8.0,LAG,19,7,3,9,0,2,0,11,1,Lobby 1,Round_1,,,,
9.0,FLRV,17,12,0,6,0,8,3,3,1,Lobby 1,Round_1,,,,
10.0,a搞耍小隊,13,6,3,12,0,7,0,6,0,Lobby 1,Round_1,,,,
11.0,GOB,10,9,3,10,0,12,0,10,0,Lobby 1,Round_1,,,,
12.0,team garong,7,10,0,8,0,11,0,8,0,Lobby 1,Round_1,,,,
13.0,SmoothOperators,0,20,0,20,0,20,0,20,0,Lobby 1,Round_1,,,,
1.0,April,75,10,3,5,12,1,20,2,13,Lobby 2,Round_1,,,,
2.0,IFPD,60,2,11,1,15,9,3,4,3,Lobby 2,Round_1,,,,
3.0,Team Shinigami,28,13,0,8,1,3,1,1,4,Lobby 2,Round_1,,,,
4.0,RL.IXiA,27,12,1,7,2,5,2,3,7,Lobby 2,Round_1,,,,
5.0,Losin Control,27,3,5,2,3,10,0,14,0,Lobby 2,Round_1,,,,
6.0,INF,26,8,4,11,0,6,11,7,2,Lobby 2,Round_1,,,,
7.0,SkarptSinne,24,1,5,13,0,13,0,9,3,Lobby 2,Round_1,,,,
8.0,Astreaks Gaming,22,7,4,6,1,2,0,10,0,Lobby 2,Round_1,,,,
9.0,OGL,19,6,6,12,0,4,1,6,0,Lobby 2,Round_1,,,,
10.0,TEAM MIRACLE,19,9,0,3,2,14,0,5,3,Lobby 2,Round_1,,,,
11.0,NOPLAY2,18,4,1,4,1,8,0,12,3,Lobby 2,Round_1,,,,
12.0,AfterMidnightG,11,5,1,10,0,7,0,13,0,Lobby 2,Round_1,,,,
13.0,NoWaifuNoLaifu,7,14,0,9,1,11,0,8,0,Lobby 2,Round_1,,,,
14.0,hello nihao,6,11,1,14,0,12,0,11,1,Lobby 2,Round_1,,,,
1.0,MDY,72,1,21,3,11,6,11,6,4,Lobby 3,Round_1,,,,
2.0,SNG,53,12,0,1,11,3,3,4,14,Lobby 3,Round_1,,,,
3.0,NMLS,36,5,4,2,3,10,0,2,5,Lobby 3,Round_1,,,,
4.0,RebellioN,35,7,0,4,3,7,3,1,6,Lobby 3,Round_1,,,,
5.0,BOG,30,2,2,6,3,9,0,3,4,Lobby 3,Round_1,,,,
6.0,Antiaa,29,4,1,5,0,1,6,11,0,Lobby 3,Round_1,,,,
7.0,AU REVENGE,27,9,0,8,1,2,9,12,3,Lobby 3,Round_1,,,,
8.0,EVOS,22,3,0,12,3,5,3,7,1,Lobby 3,Round_1,,,,
9.0,NRD,13,6,0,10,0,4,1,9,0,Lobby 3,Round_1,,,,
10.0,GOD OF DREAM,11,11,3,11,1,13,0,5,0,Lobby 3,Round_1,,,,
11.0,JmiiiiFazyWeebi,9,8,3,13,0,12,0,8,0,Lobby 3,Round_1,,,,
