A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,STK,65,12,2,14,0,6,4,1,11,1,6,3,6
2.0,EMP,59,7,1,2,3,1,13,20,0,11,9,8,6
3.0,CLG,52,9,1,1,13,2,6,5,4,14,0,19,0
4.0,UNI,47,2,7,8,0,4,3,14,3,2,5,7,0
5.0,GW,43,6,2,3,7,12,2,2,5,12,3,16,3
6.0,TSM,42,1,5,10,1,19,0,3,3,4,7,18,0
7.0,RIG,40,3,6,12,1,7,3,15,0,3,6,12,4
8.0,ELV,35,4,9,7,4,15,3,19,0,15,0,4,4
9.0,FL,33,8,8,11,3,14,2,9,7,6,0,15,3
10.0,RC,30,5,7,16,0,11,2,6,3,9,1,6,4
11.0,100T,29,10,1,6,5,13,0,4,3,8,5,14,1
12.0,SSG,29,18,0,19,0,3,3,8,4,5,3,10,4
13.0,SZ,29,13,0,4,3,10,0,16,0,13,1,2,7
14.0,TTM,27,15,0,17,0,20,0,12,2,10,1,1,8
15.0,G2,22,14,3,9,1,5,6,11,4,18,0,17,0
16.0,K1CK,18,17,0,5,5,17,0,10,0,17,0,5,3
17.0,IG,17,16,3,18,0,8,4,13,3,16,3,13,0
18.0,E6,13,19,0,20,0,18,3,17,0,7,5,9,0
19.0,XEN,11,11,0,13,2,9,2,7,0,19,0,20,0
20.0,SNG,9,20,0,15,6,16,0,18,0,20,0,11,1
